2.0,5.0,1.0,840,projection,30
2.0,5.0,2.0,840,projection,28
2.0,5.0,3.0,840,projection,30
2.0,5.0,4.0,840,projection,30
2.0,5.0,5.0,840,projection,30
2.0,5.0,6.0,840,projection,30
2.0,5.0,7.0,840,projection,30
2.0,5.0,8.0,840,projection,30
2.0,5.0,9.0,840,projection,30
2.0,5.0,10.0,840,projection,31
2.0,5.0,11.0,840,projection,30
2.0,5.0,12.0,840,projection,30
3.0,1.0,1.0,840,projection,29
3.0,1.0,2.0,840,projection,28
3.0,1.0,3.0,840,projection,29
3.0,1.0,4.0,840,projection,29
3.0,1.0,5.0,840,projection,28
3.0,1.0,6.0,840,projection,29
3.0,1.0,7.0,840,projection,29
3.0,1.0,8.0,840,projection,29
3.0,1.0,9.0,840,projection,29
3.0,1.0,10.0,840,projection,29
3.0,1.0,11.0,840,projection,29
3.0,1.0,12.0,840,projection,29
3.0,2.0,1.0,840,projection,31
3.0,2.0,2.0,840,projection,28
3.0,2.0,3.0,840,projection,31
3.0,2.0,4.0,840,projection,31
3.0,2.0,5.0,840,projection,30
3.0,2.0,6.0,840,projection,31
3.0,2.0,7.0,840,projection,31
3.0,2.0,8.0,840,projection,31
3.0,2.0,9.0,840,projection,31
3.0,2.0,10.0,840,projection,31
3.0,2.0,11.0,840,projection,30
3.0,2.0,12.0,840,projection,30
3.0,3.0,1.0,840,projection,30
3.0,3.0,2.0,840,projection,28
3.0,3.0,3.0,840,projection,30
3.0,3.0,4.0,840,projection,30
3.0,3.0,5.0,840,projection,30
3.0,3.0,6.0,840,projection,31
3.0,3.0,7.0,840,projection,31
3.0,3.0,8.0,840,projection,31
3.0,3.0,9.0,840,projection,30
3.0,3.0,10.0,840,projection,31
3.0,3.0,11.0,840,projection,30
3.0,3.0,12.0,840,projection,30
3.0,4.0,1.0,840,projection,30
3.0,4.0,2.0,840,projection,28
3.0,4.0,3.0,840,projection,30
3.0,4.0,4.0,840,projection,30
3.0,4.0,5.0,840,projection,30
3.0,4.0,6.0,840,projection,30
3.0,4.0,7.0,840,projection,30
3.0,4.0,8.0,840,projection,30
3.0,4.0,9.0,840,projection,30
3.0,4.0,10.0,840,projection,31
3.0,4.0,11.0,840,projection,30
3.0,4.0,12.0,840,projection,30
3.0,5.0,1.0,840,projection,30
3.0,5.0,2.0,840,projection,28
3.0,5.0,3.0,840,projection,30
3.0,5.0,4.0,840,projection,30
3.0,5.0,5.0,840,projection,30
3.0,5.0,6.0,840,projection,30
3.0,5.0,7.0,840,projection,30
3.0,5.0,8.0,840,projection,30
3.0,5.0,9.0,840,projection,30
3.0,5.0,10.0,840,projection,31
3.0,5.0,11.0,840,projection,30
3.0,5.0,12.0,840,projection,30
4.0,1.0,1.0,840,projection,29
4.0,1.0,2.0,840,projection,28
4.0,1.0,3.0,840,projection,29
4.0,1.0,4.0,840,projection,29
4.0,1.0,5.0,840,projection,28
4.0,1.0,6.0,840,projection,29
4.0,1.0,7.0,840,projection,29
4.0,1.0,8.0,840,projection,29
4.0,1.0,9.0,840,projection,29
4.0,1.0,10.0,840,projection,29
4.0,1.0,11.0,840,projection,29
4.0,1.0,12.0,840,projection,29
4.0,2.0,1.0,840,projection,31
4.0,2.0,2.0,840,projection,28
4.0,2.0,3.0,840,projection,31
4.0,2.0,4.0,840,projection,31
4.0,2.0,5.0,840,projection,30
4.0,2.0,6.0,840,projection,31
4.0,2.0,7.0,840,projection,31
4.0,2.0,8.0,840,projection,31
4.0,2.0,9.0,840,projection,31
4.0,2.0,10.0,840,projection,31
4.0,2.0,11.0,840,projection,30
4.0,2.0,12.0,840,projection,30
4.0,3.0,1.0,840,projection,30
4.0,3.0,2.0,840,projection,28
4.0,3.0,3.0,840,projection,30
4.0,3.0,4.0,840,projection,30
4.0,3.0,5.0,840,projection,30
4.0,3.0,6.0,840,projection,31
4.0,3.0,7.0,840,projection,31
4.0,3.0,8.0,840,projection,31
4.0,3.0,9.0,840,projection,30
4.0,3.0,10.0,840,projection,31
4.0,3.0,11.0,840,projection,30
4.0,3.0,12.0,840,projection,30
4.0,4.0,1.0,840,projection,30
4.0,4.0,2.0,840,projection,28
4.0,4.0,3.0,840,projection,30
4.0,4.0,4.0,840,projection,30
4.0,4.0,5.0,840,projection,30
4.0,4.0,6.0,840,projection,30
4.0,4.0,7.0,840,projection,30
4.0,4.0,8.0,840,projection,30
4.0,4.0,9.0,840,projection,30
4.0,4.0,10.0,840,projection,31
4.0,4.0,11.0,840,projection,30
4.0,4.0,12.0,840,projection,30
4.0,5.0,1.0,840,projection,30
4.0,5.0,2.0,840,projection,28
4.0,5.0,3.0,840,projection,30
4.0,5.0,4.0,840,projection,30
4.0,5.0,5.0,840,projection,30
4.0,5.0,6.0,840,projection,30
4.0,5.0,7.0,840,projection,30
4.0,5.0,8.0,840,projection,30
4.0,5.0,9.0,840,projection,30
4.0,5.0,10.0,840,projection,31
4.0,5.0,11.0,840,projection,30
4.0,5.0,12.0,840,projection,30
5.0,1.0,1.0,840,projection,29
5.0,1.0,2.0,840,projection,28
5.0,1.0,3.0,840,projection,29
5.0,1.0,4.0,840,projection,29
5.0,1.0,5.0,840,projection,28
5.0,1.0,6.0,840,projection,29
5.0,1.0,7.0,840,projection,29
5.0,1.0,8.0,840,projection,29
5.0,1.0,9.0,840,projection,29
5.0,1.0,10.0,840,projection,29
5.0,1.0,11.0,840,projection,29
5.0,1.0,12.0,840,projection,29
5.0,2.0,1.0,840,projection,31
5.0,2.0,2.0,840,projection,28
5.0,2.0,3.0,840,projection,31
5.0,2.0,4.0,840,projection,31
5.0,2.0,5.0,840,projection,30
5.0,2.0,6.0,840,projection,31
5.0,2.0,7.0,840,projection,31
5.0,2.0,8.0,840,projection,31
5.0,2.0,9.0,840,projection,31
5.0,2.0,10.0,840,projection,31
5.0,2.0,11.0,840,projection,30
5.0,2.0,12.0,840,projection,30
5.0,3.0,1.0,840,projection,30
5.0,3.0,2.0,840,projection,28
5.0,3.0,3.0,840,projection,30
5.0,3.0,4.0,840,projection,30
5.0,3.0,5.0,840,projection,30
5.0,3.0,6.0,840,projection,31
5.0,3.0,7.0,840,projection,31
5.0,3.0,8.0,840,projection,31
5.0,3.0,9.0,840,projection,30
5.0,3.0,10.0,840,projection,31
5.0,3.0,11.0,840,projection,30
5.0,3.0,12.0,840,projection,30
5.0,4.0,1.0,840,projection,30
5.0,4.0,2.0,840,projection,28
5.0,4.0,3.0,840,projection,30
5.0,4.0,4.0,840,projection,30
5.0,4.0,5.0,840,projection,30
5.0,4.0,6.0,840,projection,30
5.0,4.0,7.0,840,projection,30
5.0,4.0,8.0,840,projection,30
5.0,4.0,9.0,840,projection,30
5.0,4.0,10.0,840,projection,31
5.0,4.0,11.0,840,projection,30
5.0,4.0,12.0,840,projection,30
5.0,5.0,1.0,840,projection,30
5.0,5.0,2.0,840,projection,28
5.0,5.0,3.0,840,projection,30
5.0,5.0,4.0,840,projection,30
5.0,5.0,5.0,840,projection,30
5.0,5.0,6.0,840,projection,30
5.0,5.0,7.0,840,projection,30
5.0,5.0,8.0,840,projection,30
5.0,5.0,9.0,840,projection,30
5.0,5.0,10.0,840,projection,31
5.0,5.0,11.0,840,projection,30
5.0,5.0,12.0,840,projection,30
6.0,1.0,1.0,840,projection,29
6.0,1.0,2.0,840,projection,28
6.0,1.0,3.0,840,projection,29
6.0,1.0,4.0,840,projection,29
6.0,1.0,5.0,840,projection,28
6.0,1.0,6.0,840,projection,29
6.0,1.0,7.0,840,projection,29
6.0,1.0,8.0,840,projection,29
6.0,1.0,9.0,840,projection,29
6.0,1.0,10.0,840,projection,29
6.0,1.0,11.0,840,projection,29
6.0,1.0,12.0,840,projection,29
6.0,2.0,1.0,840,projection,31
6.0,2.0,2.0,840,projection,28
6.0,2.0,3.0,840,projection,31
6.0,2.0,4.0,840,projection,31
6.0,2.0,5.0,840,projection,30
6.0,2.0,6.0,840,projection,31
6.0,2.0,7.0,840,projection,31
6.0,2.0,8.0,840,projection,31
6.0,2.0,9.0,840,projection,31
6.0,2.0,10.0,840,projection,31
6.0,2.0,11.0,840,projection,30
6.0,2.0,12.0,840,projection,30
6.0,3.0,1.0,840,projection,30
6.0,3.0,2.0,840,projection,28
6.0,3.0,3.0,840,projection,30
6.0,3.0,4.0,840,projection,30
6.0,3.0,5.0,840,projection,30
6.0,3.0,6.0,840,projection,31
6.0,3.0,7.0,840,projection,31
6.0,3.0,8.0,840,projection,31
6.0,3.0,9.0,840,projection,30
6.0,3.0,10.0,840,projection,31
6.0,3.0,11.0,840,projection,30
6.0,3.0,12.0,840,projection,30
6.0,4.0,1.0,840,projection,30
6.0,4.0,2.0,840,projection,28
6.0,4.0,3.0,840,projection,30
6.0,4.0,4.0,840,projection,30
6.0,4.0,5.0,840,projection,30
6.0,4.0,6.0,840,projection,30
6.0,4.0,7.0,840,projection,30
6.0,4.0,8.0,840,projection,30
6.0,4.0,9.0,840,projection,30
6.0,4.0,10.0,840,projection,31
6.0,4.0,11.0,840,projection,30
6.0,4.0,12.0,840,projection,30
6.0,5.0,1.0,840,projection,30
6.0,5.0,2.0,840,projection,28
6.0,5.0,3.0,840,projection,30
6.0,5.0,4.0,840,projection,30
6.0,5.0,5.0,840,projection,30
6.0,5.0,6.0,840,projection,30
6.0,5.0,7.0,840,projection,30
6.0,5.0,8.0,840,projection,30
6.0,5.0,9.0,840,projection,30
6.0,5.0,10.0,840,projection,31
6.0,5.0,11.0,840,projection,30
6.0,5.0,12.0,840,projection,30
7.0,1.0,1.0,840,projection,29
7.0,1.0,2.0,840,projection,28
7.0,1.0,3.0,840,projection,29
7.0,1.0,4.0,840,projection,29
7.0,1.0,5.0,840,projection,28
7.0,1.0,6.0,840,projection,29
7.0,1.0,7.0,840,projection,29
7.0,1.0,8.0,840,projection,29
7.0,1.0,9.0,840,projection,29
7.0,1.0,10.0,840,projection,29
7.0,1.0,11.0,840,projection,29
7.0,1.0,12.0,840,projection,29
7.0,2.0,1.0,840,projection,31
7.0,2.0,2.0,840,projection,28
7.0,2.0,3.0,840,projection,31
7.0,2.0,4.0,840,projection,31
7.0,2.0,5.0,840,projection,30
7.0,2.0,6.0,840,projection,31
7.0,2.0,7.0,840,projection,31
7.0,2.0,8.0,840,projection,31
7.0,2.0,9.0,840,projection,31
7.0,2.0,10.0,840,projection,31
7.0,2.0,11.0,840,projection,30
7.0,2.0,12.0,840,projection,30
7.0,3.0,1.0,840,projection,30
7.0,3.0,2.0,840,projection,28
7.0,3.0,3.0,840,projection,30
7.0,3.0,4.0,840,projection,30
7.0,3.0,5.0,840,projection,30
7.0,3.0,6.0,840,projection,31
7.0,3.0,7.0,840,projection,31
7.0,3.0,8.0,840,projection,31
7.0,3.0,9.0,840,projection,30
7.0,3.0,10.0,840,projection,31
7.0,3.0,11.0,840,projection,30
7.0,3.0,12.0,840,projection,30
7.0,4.0,1.0,840,projection,30
7.0,4.0,2.0,840,projection,28
7.0,4.0,3.0,840,projection,30
7.0,4.0,4.0,840,projection,30
7.0,4.0,5.0,840,projection,30
7.0,4.0,6.0,840,projection,30
7.0,4.0,7.0,840,projection,30
7.0,4.0,8.0,840,projection,30
7.0,4.0,9.0,840,projection,30
7.0,4.0,10.0,840,projection,31
7.0,4.0,11.0,840,projection,30
7.0,4.0,12.0,840,projection,30
7.0,5.0,1.0,840,projection,30
7.0,5.0,2.0,840,projection,28
7.0,5.0,3.0,840,projection,30
7.0,5.0,4.0,840,projection,30
7.0,5.0,5.0,840,projection,30
7.0,5.0,6.0,840,projection,30
7.0,5.0,7.0,840,projection,30
7.0,5.0,8.0,840,projection,30
7.0,5.0,9.0,840,projection,30
7.0,5.0,10.0,840,projection,31
7.0,5.0,11.0,840,projection,30
7.0,5.0,12.0,840,projection,30
8.0,1.0,1.0,840,projection,29
8.0,1.0,2.0,840,projection,28
8.0,1.0,3.0,840,projection,29
8.0,1.0,4.0,840,projection,29
8.0,1.0,5.0,840,projection,28
8.0,1.0,6.0,840,projection,29
8.0,1.0,7.0,840,projection,29
8.0,1.0,8.0,840,projection,29
8.0,1.0,9.0,840,projection,29
8.0,1.0,10.0,840,projection,29
8.0,1.0,11.0,840,projection,29
8.0,1.0,12.0,840,projection,29
8.0,2.0,1.0,840,projection,31
8.0,2.0,2.0,840,projection,28
8.0,2.0,3.0,840,projection,31
8.0,2.0,4.0,840,projection,31
8.0,2.0,5.0,840,projection,30
8.0,2.0,6.0,840,projection,31
8.0,2.0,7.0,840,projection,31
8.0,2.0,8.0,840,projection,31
8.0,2.0,9.0,840,projection,31
8.0,2.0,10.0,840,projection,31
8.0,2.0,11.0,840,projection,30
8.0,2.0,12.0,840,projection,30
8.0,3.0,1.0,840,projection,30
8.0,3.0,2.0,840,projection,28
8.0,3.0,3.0,840,projection,30
8.0,3.0,4.0,840,projection,30
8.0,3.0,5.0,840,projection,30
8.0,3.0,6.0,840,projection,31
8.0,3.0,7.0,840,projection,31
8.0,3.0,8.0,840,projection,31
8.0,3.0,9.0,840,projection,30
8.0,3.0,10.0,840,projection,31
8.0,3.0,11.0,840,projection,30
8.0,3.0,12.0,840,projection,30
8.0,4.0,1.0,840,projection,30
8.0,4.0,2.0,840,projection,28
8.0,4.0,3.0,840,projection,30
8.0,4.0,4.0,840,projection,30
8.0,4.0,5.0,840,projection,30
8.0,4.0,6.0,840,projection,30
8.0,4.0,7.0,840,projection,30
8.0,4.0,8.0,840,projection,30
8.0,4.0,9.0,840,projection,30
8.0,4.0,10.0,840,projection,31
8.0,4.0,11.0,840,projection,30
8.0,4.0,12.0,840,projection,30
8.0,5.0,1.0,840,projection,30
8.0,5.0,2.0,840,projection,28
8.0,5.0,3.0,840,projection,30
8.0,5.0,4.0,840,projection,30
8.0,5.0,5.0,840,projection,30
8.0,5.0,6.0,840,projection,30
8.0,5.0,7.0,840,projection,30
8.0,5.0,8.0,840,projection,30
8.0,5.0,9.0,840,projection,30
8.0,5.0,10.0,840,projection,31
8.0,5.0,11.0,840,projection,30
8.0,5.0,12.0,840,projection,30
9.0,1.0,1.0,840,projection,29
9.0,1.0,2.0,840,projection,28
9.0,1.0,3.0,840,projection,29
9.0,1.0,4.0,840,projection,29
9.0,1.0,5.0,840,projection,28
9.0,1.0,6.0,840,projection,29
9.0,1.0,7.0,840,projection,29
9.0,1.0,8.0,840,projection,29
9.0,1.0,9.0,840,projection,29
9.0,1.0,10.0,840,projection,29
9.0,1.0,11.0,840,projection,29
9.0,1.0,12.0,840,projection,29
9.0,2.0,1.0,840,projection,31
9.0,2.0,2.0,840,projection,28
9.0,2.0,3.0,840,projection,31
9.0,2.0,4.0,840,projection,31
9.0,2.0,5.0,840,projection,30
9.0,2.0,6.0,840,projection,31
9.0,2.0,7.0,840,projection,31
9.0,2.0,8.0,840,projection,31
9.0,2.0,9.0,840,projection,31
9.0,2.0,10.0,840,projection,31
9.0,2.0,11.0,840,projection,30
9.0,2.0,12.0,840,projection,30
9.0,3.0,1.0,840,projection,30
9.0,3.0,2.0,840,projection,28
9.0,3.0,3.0,840,projection,30
9.0,3.0,4.0,840,projection,30
9.0,3.0,5.0,840,projection,30
9.0,3.0,6.0,840,projection,31
9.0,3.0,7.0,840,projection,31
9.0,3.0,8.0,840,projection,31
9.0,3.0,9.0,840,projection,30
9.0,3.0,10.0,840,projection,31
9.0,3.0,11.0,840,projection,30
9.0,3.0,12.0,840,projection,30
9.0,4.0,1.0,840,projection,30
9.0,4.0,2.0,840,projection,28
9.0,4.0,3.0,840,projection,30
9.0,4.0,4.0,840,projection,30
9.0,4.0,5.0,840,projection,30
9.0,4.0,6.0,840,projection,30
9.0,4.0,7.0,840,projection,30
9.0,4.0,8.0,840,projection,30
9.0,4.0,9.0,840,projection,30
9.0,4.0,10.0,840,projection,31
9.0,4.0,11.0,840,projection,30
9.0,4.0,12.0,840,projection,30
9.0,5.0,1.0,840,projection,30
9.0,5.0,2.0,840,projection,28
9.0,5.0,3.0,840,projection,30
9.0,5.0,4.0,840,projection,30
9.0,5.0,5.0,840,projection,30
9.0,5.0,6.0,840,projection,30
9.0,5.0,7.0,840,projection,30
9.0,5.0,8.0,840,projection,30
9.0,5.0,9.0,840,projection,30
9.0,5.0,10.0,840,projection,31
9.0,5.0,11.0,840,projection,30
9.0,5.0,12.0,840,projection,30
10.0,1.0,1.0,840,projection,29
10.0,1.0,2.0,840,projection,28
10.0,1.0,3.0,840,projection,29
10.0,1.0,4.0,840,projection,29
10.0,1.0,5.0,840,projection,28
10.0,1.0,6.0,840,projection,29
10.0,1.0,7.0,840,projection,29
10.0,1.0,8.0,840,projection,29
10.0,1.0,9.0,840,projection,29
10.0,1.0,10.0,840,projection,29
10.0,1.0,11.0,840,projection,29
10.0,1.0,12.0,840,projection,29
10.0,2.0,1.0,840,projection,31
10.0,2.0,2.0,840,projection,28
10.0,2.0,3.0,840,projection,31
10.0,2.0,4.0,840,projection,31
10.0,2.0,5.0,840,projection,30
10.0,2.0,6.0,840,projection,31
10.0,2.0,7.0,840,projection,31
10.0,2.0,8.0,840,projection,31
10.0,2.0,9.0,840,projection,31
10.0,2.0,10.0,840,projection,31
10.0,2.0,11.0,840,projection,30
10.0,2.0,12.0,840,projection,30
10.0,3.0,1.0,840,projection,30
10.0,3.0,2.0,840,projection,28
10.0,3.0,3.0,840,projection,30
10.0,3.0,4.0,840,projection,30
10.0,3.0,5.0,840,projection,30
10.0,3.0,6.0,840,projection,31
10.0,3.0,7.0,840,projection,31
10.0,3.0,8.0,840,projection,31
10.0,3.0,9.0,840,projection,30
10.0,3.0,10.0,840,projection,31
10.0,3.0,11.0,840,projection,30
10.0,3.0,12.0,840,projection,30
10.0,4.0,1.0,840,projection,30
10.0,4.0,2.0,840,projection,28
10.0,4.0,3.0,840,projection,30
10.0,4.0,4.0,840,projection,30
10.0,4.0,5.0,840,projection,30
10.0,4.0,6.0,840,projection,30
10.0,4.0,7.0,840,projection,30
10.0,4.0,8.0,840,projection,30
10.0,4.0,9.0,840,projection,30
10.0,4.0,10.0,840,projection,31
10.0,4.0,11.0,840,projection,30
10.0,4.0,12.0,840,projection,30
10.0,5.0,1.0,840,projection,30
10.0,5.0,2.0,840,projection,28
10.0,5.0,3.0,840,projection,30
10.0,5.0,4.0,840,projection,30
10.0,5.0,5.0,840,projection,30
10.0,5.0,6.0,840,projection,30
10.0,5.0,7.0,840,projection,30
10.0,5.0,8.0,840,projection,30
10.0,5.0,9.0,840,projection,30
10.0,5.0,10.0,840,projection,31
10.0,5.0,11.0,840,projection,30
10.0,5.0,12.0,840,projection,30
11.0,1.0,1.0,840,projection,29
11.0,1.0,2.0,840,projection,28
11.0,1.0,3.0,840,projection,29
11.0,1.0,4.0,840,projection,29
11.0,1.0,5.0,840,projection,28
11.0,1.0,6.0,840,projection,29
11.0,1.0,7.0,840,projection,29
11.0,1.0,8.0,840,projection,29
11.0,1.0,9.0,840,projection,29
11.0,1.0,10.0,840,projection,29
11.0,1.0,11.0,840,projection,29
11.0,1.0,12.0,840,projection,29
11.0,2.0,1.0,840,projection,31
11.0,2.0,2.0,840,projection,28
11.0,2.0,3.0,840,projection,31
11.0,2.0,4.0,840,projection,31
11.0,2.0,5.0,840,projection,30
11.0,2.0,6.0,840,projection,31
11.0,2.0,7.0,840,projection,31
11.0,2.0,8.0,840,projection,31
11.0,2.0,9.0,840,projection,31
11.0,2.0,10.0,840,projection,31
11.0,2.0,11.0,840,projection,30
11.0,2.0,12.0,840,projection,30
11.0,3.0,1.0,840,projection,30
11.0,3.0,2.0,840,projection,28
11.0,3.0,3.0,840,projection,30
11.0,3.0,4.0,840,projection,30
11.0,3.0,5.0,840,projection,30
11.0,3.0,6.0,840,projection,31
11.0,3.0,7.0,840,projection,31
11.0,3.0,8.0,840,projection,31
11.0,3.0,9.0,840,projection,30
11.0,3.0,10.0,840,projection,31
11.0,3.0,11.0,840,projection,30
11.0,3.0,12.0,840,projection,30
11.0,4.0,1.0,840,projection,30
11.0,4.0,2.0,840,projection,28
11.0,4.0,3.0,840,projection,30
11.0,4.0,4.0,840,projection,30
11.0,4.0,5.0,840,projection,30
11.0,4.0,6.0,840,projection,30
11.0,4.0,7.0,840,projection,30
11.0,4.0,8.0,840,projection,30
11.0,4.0,9.0,840,projection,30
11.0,4.0,10.0,840,projection,31
11.0,4.0,11.0,840,projection,30
11.0,4.0,12.0,840,projection,30
11.0,5.0,1.0,840,projection,30
11.0,5.0,2.0,840,projection,28
11.0,5.0,3.0,840,projection,30
11.0,5.0,4.0,840,projection,30
11.0,5.0,5.0,840,projection,30
11.0,5.0,6.0,840,projection,30
11.0,5.0,7.0,840,projection,30
11.0,5.0,8.0,840,projection,30
11.0,5.0,9.0,840,projection,30
11.0,5.0,10.0,840,projection,31
11.0,5.0,11.0,840,projection,30
11.0,5.0,12.0,840,projection,30
12.0,1.0,1.0,840,projection,29
12.0,1.0,2.0,840,projection,28
12.0,1.0,3.0,840,projection,29
12.0,1.0,4.0,840,projection,29
12.0,1.0,5.0,840,projection,28
12.0,1.0,6.0,840,projection,29
12.0,1.0,7.0,840,projection,29
12.0,1.0,8.0,840,projection,29
12.0,1.0,9.0,840,projection,29
12.0,1.0,10.0,840,projection,29
12.0,1.0,11.0,840,projection,29
12.0,1.0,12.0,840,projection,29
12.0,2.0,1.0,840,projection,31
12.0,2.0,2.0,840,projection,28
12.0,2.0,3.0,840,projection,31
12.0,2.0,4.0,840,projection,31
12.0,2.0,5.0,840,projection,30
12.0,2.0,6.0,840,projection,31
12.0,2.0,7.0,840,projection,31
12.0,2.0,8.0,840,projection,31
12.0,2.0,9.0,840,projection,31
12.0,2.0,10.0,840,projection,31
12.0,2.0,11.0,840,projection,30
12.0,2.0,12.0,840,projection,30
12.0,3.0,1.0,840,projection,30
12.0,3.0,2.0,840,projection,28
12.0,3.0,3.0,840,projection,30
12.0,3.0,4.0,840,projection,30
12.0,3.0,5.0,840,projection,30
12.0,3.0,6.0,840,projection,31
12.0,3.0,7.0,840,projection,31
12.0,3.0,8.0,840,projection,31
12.0,3.0,9.0,840,projection,30
12.0,3.0,10.0,840,projection,31
12.0,3.0,11.0,840,projection,30
12.0,3.0,12.0,840,projection,30
12.0,4.0,1.0,840,projection,30
12.0,4.0,2.0,840,projection,28
12.0,4.0,3.0,840,projection,30
12.0,4.0,4.0,840,projection,30
12.0,4.0,5.0,840,projection,30
12.0,4.0,6.0,840,projection,30
12.0,4.0,7.0,840,projection,30
12.0,4.0,8.0,840,projection,30
12.0,4.0,9.0,840,projection,30
12.0,4.0,10.0,840,projection,31
12.0,4.0,11.0,840,projection,30
12.0,4.0,12.0,840,projection,30
12.0,5.0,1.0,840,projection,30
12.0,5.0,2.0,840,projection,28
12.0,5.0,3.0,840,projection,30
12.0,5.0,4.0,840,projection,30
12.0,5.0,5.0,840,projection,30
12.0,5.0,6.0,840,projection,30
12.0,5.0,7.0,840,projection,30
12.0,5.0,8.0,840,projection,30
12.0,5.0,9.0,840,projection,30
12.0,5.0,10.0,840,projection,31
12.0,5.0,11.0,840,projection,30
12.0,5.0,12.0,840,projection,30
13.0,1.0,1.0,840,projection,29
13.0,1.0,2.0,840,projection,28
13.0,1.0,3.0,840,projection,29
13.0,1.0,4.0,840,projection,29
13.0,1.0,5.0,840,projection,28
13.0,1.0,6.0,840,projection,29
13.0,1.0,7.0,840,projection,29
13.0,1.0,8.0,840,projection,29
13.0,1.0,9.0,840,projection,29
13.0,1.0,10.0,840,projection,29
13.0,1.0,11.0,840,projection,29
13.0,1.0,12.0,840,projection,29
13.0,2.0,1.0,840,projection,31
13.0,2.0,2.0,840,projection,28
13.0,2.0,3.0,840,projection,31
13.0,2.0,4.0,840,projection,31
