missing_value,normalization,whitespace,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
5,1,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.0545756679824011
5,2,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.1692856509522513
5,3,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
5,4,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
5,5,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.171324580794353
6,1,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.0545756679824011
6,2,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.1692856509522513
6,3,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
6,4,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
6,5,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.171324580794353
