missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
6,4,1,1,0.5000307106443094,0.4999692893556907,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
6,4,2,1,0.5000307106443094,0.4999692893556907,0.22161,2.56654,0.044717120496871,0.19133,2128.72201,346.29024,885.04474,1350.99386,10331.86209,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3880.17028,3598.46034,2173.78306,110.03981,0.18908246975857224
6,4,3,1,0.5000307106443094,0.4999692893556907,0.19273,2.04185,0.04253316836708324,0.17112,2199.43406,455.56821,781.54277,1562.29163,8905.15163,2129.80266,1462.97974,2510.90163,123.9905,538.89166,3231.38709,2811.16443,1831.36741,139.37638,0.17185160507325853
6,4,4,1,0.5000307106443094,0.4999692893556907,0.19516,2.0559,0.042968707706282146,0.21454,2388.1858,534.14119,1096.53233,1894.16747,10118.52136,2561.72766,1803.20873,3036.85069,149.00442,646.07771,4125.50498,3591.74209,1921.05308,152.69809,0.18165259191724809
6,4,5,1,0.5000307106443094,0.4999692893556907,0.19787,2.04672,0.04363117189759171,0.21995,2464.18298,530.73093,1120.05412,1900.24087,10335.58906,2633.91515,1782.99493,3122.48136,167.40024,680.48623,4252.13753,3705.65922,1957.3389,149.81984,0.18412486854025012
6,4,6,1,0.5000307106443094,0.4999692893556907,0.19943,2.00201,0.04430563644824418,0.22173,2624.87902,527.8851,1083.75591,1909.54679,10854.03124,2713.02337,1812.75554,3210.0403,176.34498,718.59582,4287.71009,3764.56742,2088.97902,155.27787,0.18465605401956411
6,4,7,1,0.5000307106443094,0.4999692893556907,0.20103,1.98345,0.04479911688181754,0.22345,2695.72364,522.23014,1069.03095,1943.36112,11169.42528,2755.94788,1846.52407,3263.90007,174.80675,746.09177,4306.99764,3829.66708,2158.383,147.90535,0.1839050015450492
6,5,1,1,0.5000307106443094,0.5000307106443094,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.17132458079435303
6,5,2,1,0.5000307106443094,0.5000307106443094,0.22161,2.56654,0.044717120496871,0.19133,134.42676,346.29024,1014.50238,1350.99386,9005.3103,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3880.17028,3598.46034,2030.32417,110.03981,0.1897084083304694
6,5,3,1,0.5000307106443094,0.5000307106443094,0.1921,2.04822,0.04234880524356401,0.17155,212.47652,450.70872,903.90863,1570.22712,7706.72901,2139.87554,1487.90147,2505.85609,131.0655,536.69667,3246.94242,2804.29308,1693.60744,144.93811,0.1728142227867735
6,5,4,1,0.5000307106443094,0.5000307106443094,0.19424,2.04584,0.04283776541428646,0.2151,201.13968,530.36621,1237.03786,1894.44461,8814.68642,2581.14453,1803.14625,3051.30488,151.97754,646.27938,4133.90456,3595.15679,1806.23064,154.36377,0.1803897878815631
6,5,5,1,0.5000307106443094,0.5000307106443094,0.1992,2.04259,0.04395531639673223,0.22142,212.67009,538.77701,1279.3455,1914.05629,8986.83685,2629.8455,1796.63795,3123.25401,171.37321,695.59756,4278.986,3737.44255,1822.69479,154.64466,0.18577358736929153
6,5,6,1,0.5000307106443094,0.5000307106443094,0.20066,1.9992,0.04460033738828358,0.22302,238.92976,537.15027,1241.07976,1927.22672,9455.37512,2729.37792,1825.16243,3231.80766,175.5395,733.66541,4305.2132,3791.44517,1959.16081,160.30615,0.18626047386551492
6,5,7,1,0.5000307106443094,0.5000307106443094,0.20162,1.98118,0.04494787485604575,0.224,250.10209,527.47824,1220.35787,1954.55521,9708.58715,2768.7374,1848.9445,3280.80804,169.39576,754.51926,4314.09468,3819.96238,2021.23635,150.6316,0.18485072889013088
7,1,1,1,0.5000307106443094,0.5000307106443094,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.05457566798240117
7,1,2,1,0.5000307106443094,0.5000307106443094,0.22161,2.56654,0.044717120496871,0.19133,113688.04658,346.29024,46186.46437,1350.99386,244520.90565,2493.23909,1406.41203,2788.52208,100.19643,708.08031,343.86314,308.79605,188621.82503,110.03981,0.08970918542213431
7,1,3,1,0.5000307106443094,0.5000307106443094,0.19457,2.05866,0.04281766359029258,0.18304,101846.84123,409.33539,41089.78019,1486.09344,184241.53515,2344.56792,1449.17725,2675.1302,112.44591,565.41149,245.90017,576.4753,157727.70913,128.00217,0.055863753533224356
7,1,4,1,0.5000307106443094,0.5000307106443094,0.19168,2.0144,0.04249686906119823,0.21817,119164.72734,514.11539,50165.17021,1912.62538,217480.32088,2789.28445,1803.38226,3187.4022,153.90944,680.26006,280.87471,554.97882,163778.63251,167.17064,0.051715169250334675
7,1,5,1,0.5000307106443094,0.5000307106443094,0.18889,1.97761,0.04213537613134156,0.21553,118891.28428,520.94747,50693.72944,1925.64665,219516.69727,2793.94053,1830.05334,3194.55926,156.16707,687.55115,256.6065,371.66359,159959.24128,172.07815,0.04899995464368824
7,1,6,1,0.5000307106443094,0.5000307106443094,0.181,1.94474,0.04059526733558131,0.1998,114699.22738,497.97259,49146.57164,1808.39311,214164.20654,2630.09823,1688.83488,3020.1174,150.8322,641.97922,211.61615,38.11083,153989.53712,166.8272,0.03857679932420884
7,1,7,1,0.5000307106443094,0.5000307106443094,0.17677,1.93108,0.03973567469176849,0.19335,113283.64561,470.79085,48661.82291,1791.43211,212375.45581,2569.10672,1678.30126,2957.16354,144.01407,619.60873,178.36068,38.73984,152309.76054,168.36478,0.03227472309825251
7,2,1,1,0.5000307106443094,0.4999692893556907,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.16928565095225137
7,2,2,1,0.5000307106443094,0.4999692893556907,0.22161,2.56654,0.044717120496871,0.19133,1168.08232,346.29024,732.50901,1350.99386,425.82492,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3204.74484,2379.46983,319.15432,110.03981,0.19256427862697603
7,2,3,1,0.5000307106443094,0.4999692893556907,0.19075,1.98548,0.04249388107963784,0.17806,645.46247,487.47094,677.50888,1678.55003,600.0801,2290.34162,1577.0159,2637.61318,135.10417,554.85286,586.70258,542.30129,577.83054,145.92991,0.17212533138825628
7,2,4,1,0.5000307106443094,0.4999692893556907,0.19419,1.97735,0.043320079112515175,0.22099,730.89995,546.98725,854.33399,2003.22316,668.7384,2838.32912,1848.75951,3315.46084,163.5535,710.30226,836.84859,717.68016,736.55542,154.32023,0.17491098200556215
7,2,5,1,0.5000307106443094,0.4999692893556907,0.19443,1.98472,0.043319653958109564,0.2264,731.96964,557.02889,829.02825,2045.8864,707.2068,2862.86405,1878.19928,3356.76895,164.13473,729.21978,888.35861,744.0492,770.65581,157.61699,0.17525167740831374
7,2,6,1,0.5000307106443094,0.4999692893556907,0.1942,1.99073,0.04322468055511574,0.22781,758.63171,549.13853,874.86455,2060.76606,715.01261,2911.11291,1898.03739,3417.15414,168.04731,737.6427,909.41472,786.32391,783.33035,158.75151,0.17387199741167303
7,2,7,1,0.5000307106443094,0.4999692893556907,0.19285,1.98719,0.04295041370441838,0.22824,780.84748,550.71466,897.53052,2079.80143,709.35211,2923.01766,1912.3424,3423.40331,165.0179,730.82719,888.00792,813.77239,808.0,153.96161,0.1714930618961112
7,3,1,1,0.5000307106443094,0.49173883668079355,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
7,3,2,1,0.5000307106443094,0.49173883668079355,0.22161,2.56654,0.044717120496871,0.19133,846.39567,346.29024,341.20274,1350.99386,453.51477,2405.79783,1406.41203,2788.52208,100.19643,708.08031,343.86314,308.79605,9.09786,110.03981,0.18143328773227008
7,3,3,1,0.5000307106443094,0.49173883668079355,0.18676,1.9643,0.04175275049265343,0.17898,446.14175,485.67884,344.40931,1690.92322,583.75202,2299.14369,1553.82872,2653.18313,142.96632,540.88936,257.70657,565.70349,47.61471,142.78178,0.1431900325078565
7,3,4,1,0.5000307106443094,0.49173883668079355,0.19574,1.9864,0.04359843593851483,0.2186,589.45502,589.14429,401.93255,1999.35106,676.646,2779.42203,1854.53236,3271.1212,174.41278,718.6818,272.5378,629.55669,58.35421,171.08803,0.15217135292798287
7,3,5,1,0.5000307106443094,0.49173883668079355,0.19438,1.98475,0.04330798776128876,0.21915,579.57864,556.7299,380.20302,1957.7738,693.79327,2783.45997,1837.83495,3310.23071,163.95695,731.80242,270.10283,613.25085,56.02989,155.7543,0.1725921326746657
7,3,6,1,0.5000307106443094,0.49173883668079355,0.1928,1.99271,0.0429001551511326,0.22007,551.42753,534.08895,384.6824,1946.36859,713.41691,2811.5015,1836.55281,3321.53251,157.74606,728.24311,260.54378,625.07143,63.13237,151.21648,0.14786068432780494
7,3,7,1,0.5000307106443094,0.49173883668079355,0.19214,1.99119,0.04276429861809609,0.22204,553.00207,542.58656,406.51487,1958.95943,719.62564,2767.3877,1857.01156,3265.98302,155.6386,719.74502,267.24989,586.37186,69.26833,150.91612,0.16823052162842556
7,4,1,1,0.5000307106443094,0.4999692893556907,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
7,4,2,1,0.5000307106443094,0.4999692893556907,0.22161,2.56654,0.044717120496871,0.19133,2128.72201,346.29024,885.04474,1350.99386,10331.86209,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3880.17028,3598.46034,2173.78306,110.03981,0.18908246975857224
7,4,3,1,0.5000307106443094,0.4999692893556907,0.19273,2.04185,0.04253316836708324,0.17112,2199.43406,455.56821,781.54277,1562.29163,8905.15163,2129.80266,1462.97974,2510.90163,123.9905,538.89166,3231.38709,2811.16443,1831.36741,139.37638,0.17185160507325853
7,4,4,1,0.5000307106443094,0.4999692893556907,0.19516,2.0559,0.042968707706282146,0.21454,2388.1858,534.14119,1096.53233,1894.16747,10118.52136,2561.72766,1803.20873,3036.85069,149.00442,646.07771,4125.50498,3591.74209,1921.05308,152.69809,0.18165259191724809
7,4,5,1,0.5000307106443094,0.4999692893556907,0.19787,2.04672,0.04363117189759171,0.21995,2464.18298,530.73093,1120.05412,1900.24087,10335.58906,2633.91515,1782.99493,3122.48136,167.40024,680.48623,4252.13753,3705.65922,1957.3389,149.81984,0.18412486854025012
7,4,6,1,0.5000307106443094,0.4999692893556907,0.19943,2.00201,0.04430563644824418,0.22173,2624.87902,527.8851,1083.75591,1909.54679,10854.03124,2713.02337,1812.75554,3210.0403,176.34498,718.59582,4287.71009,3764.56742,2088.97902,155.27787,0.18465605401956411
7,4,7,1,0.5000307106443094,0.4999692893556907,0.20103,1.98345,0.04479911688181754,0.22345,2695.72364,522.23014,1069.03095,1943.36112,11169.42528,2755.94788,1846.52407,3263.90007,174.80675,746.09177,4306.99764,3829.66708,2158.383,147.90535,0.1839050015450492
7,5,1,1,0.5000307106443094,0.5000307106443094,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.17132458079435303
7,5,2,1,0.5000307106443094,0.5000307106443094,0.22161,2.56654,0.044717120496871,0.19133,134.42676,346.29024,1014.50238,1350.99386,9005.3103,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3880.17028,3598.46034,2030.32417,110.03981,0.1897084083304694
7,5,3,1,0.5000307106443094,0.5000307106443094,0.1921,2.04822,0.04234880524356401,0.17155,212.47652,450.70872,903.90863,1570.22712,7706.72901,2139.87554,1487.90147,2505.85609,131.0655,536.69667,3246.94242,2804.29308,1693.60744,144.93811,0.1728142227867735
7,5,4,1,0.5000307106443094,0.5000307106443094,0.19424,2.04584,0.04283776541428646,0.2151,201.13968,530.36621,1237.03786,1894.44461,8814.68642,2581.14453,1803.14625,3051.30488,151.97754,646.27938,4133.90456,3595.15679,1806.23064,154.36377,0.1803897878815631
7,5,5,1,0.5000307106443094,0.5000307106443094,0.1992,2.04259,0.04395531639673223,0.22142,212.67009,538.77701,1279.3455,1914.05629,8986.83685,2629.8455,1796.63795,3123.25401,171.37321,695.59756,4278.986,3737.44255,1822.69479,154.64466,0.18577358736929153
7,5,6,1,0.5000307106443094,0.5000307106443094,0.20066,1.9992,0.04460033738828358,0.22302,238.92976,537.15027,1241.07976,1927.22672,9455.37512,2729.37792,1825.16243,3231.80766,175.5395,733.66541,4305.2132,3791.44517,1959.16081,160.30615,0.18626047386551492
7,5,7,1,0.5000307106443094,0.5000307106443094,0.20162,1.98118,0.04494787485604575,0.224,250.10209,527.47824,1220.35787,1954.55521,9708.58715,2768.7374,1848.9445,3280.80804,169.39576,754.51926,4314.09468,3819.96238,2021.23635,150.6316,0.18485072889013088
8,1,1,1,0.5000307106443094,0.5000307106443094,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.05457566798240117
8,1,2,1,0.5000307106443094,0.5000307106443094,0.22161,2.56654,0.044717120496871,0.19133,113688.04658,346.29024,46186.46437,1350.99386,244520.90565,2493.23909,1406.41203,2788.52208,100.19643,708.08031,343.86314,308.79605,188621.82503,110.03981,0.08970918542213431
8,1,3,1,0.5000307106443094,0.5000307106443094,0.19457,2.05866,0.04281766359029258,0.18304,101846.84123,409.33539,41089.78019,1486.09344,184241.53515,2344.56792,1449.17725,2675.1302,112.44591,565.41149,245.90017,576.4753,157727.70913,128.00217,0.055863753533224356
8,1,4,1,0.5000307106443094,0.5000307106443094,0.19168,2.0144,0.04249686906119823,0.21817,119164.72734,514.11539,50165.17021,1912.62538,217480.32088,2789.28445,1803.38226,3187.4022,153.90944,680.26006,280.87471,554.97882,163778.63251,167.17064,0.051715169250334675
8,1,5,1,0.5000307106443094,0.5000307106443094,0.18889,1.97761,0.04213537613134156,0.21553,118891.28428,520.94747,50693.72944,1925.64665,219516.69727,2793.94053,1830.05334,3194.55926,156.16707,687.55115,256.6065,371.66359,159959.24128,172.07815,0.04899995464368824
8,1,6,1,0.5000307106443094,0.5000307106443094,0.181,1.94474,0.04059526733558131,0.1998,114699.22738,497.97259,49146.57164,1808.39311,214164.20654,2630.09823,1688.83488,3020.1174,150.8322,641.97922,211.61615,38.11083,153989.53712,166.8272,0.03857679932420884
8,1,7,1,0.5000307106443094,0.5000307106443094,0.17677,1.93108,0.03973567469176849,0.19335,113283.64561,470.79085,48661.82291,1791.43211,212375.45581,2569.10672,1678.30126,2957.16354,144.01407,619.60873,178.36068,38.73984,152309.76054,168.36478,0.03227472309825251
8,2,1,1,0.5000307106443094,0.4999692893556907,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.16928565095225137
8,2,2,1,0.5000307106443094,0.4999692893556907,0.22161,2.56654,0.044717120496871,0.19133,1168.08232,346.29024,732.50901,1350.99386,425.82492,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3204.74484,2379.46983,319.15432,110.03981,0.19256427862697603
8,2,3,1,0.5000307106443094,0.4999692893556907,0.19075,1.98548,0.04249388107963784,0.17806,645.46247,487.47094,677.50888,1678.55003,600.0801,2290.34162,1577.0159,2637.61318,135.10417,554.85286,586.70258,542.30129,577.83054,145.92991,0.17212533138825628
8,2,4,1,0.5000307106443094,0.4999692893556907,0.19419,1.97735,0.043320079112515175,0.22099,730.89995,546.98725,854.33399,2003.22316,668.7384,2838.32912,1848.75951,3315.46084,163.5535,710.30226,836.84859,717.68016,736.55542,154.32023,0.17491098200556215
8,2,5,1,0.5000307106443094,0.4999692893556907,0.19443,1.98472,0.043319653958109564,0.2264,731.96964,557.02889,829.02825,2045.8864,707.2068,2862.86405,1878.19928,3356.76895,164.13473,729.21978,888.35861,744.0492,770.65581,157.61699,0.17525167740831374
8,2,6,1,0.5000307106443094,0.4999692893556907,0.1942,1.99073,0.04322468055511574,0.22781,758.63171,549.13853,874.86455,2060.76606,715.01261,2911.11291,1898.03739,3417.15414,168.04731,737.6427,909.41472,786.32391,783.33035,158.75151,0.17387199741167303
8,2,7,1,0.5000307106443094,0.4999692893556907,0.19285,1.98719,0.04295041370441838,0.22824,780.84748,550.71466,897.53052,2079.80143,709.35211,2923.01766,1912.3424,3423.40331,165.0179,730.82719,888.00792,813.77239,808.0,153.96161,0.1714930618961112
8,3,1,1,0.5000307106443094,0.49173883668079355,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
8,3,2,1,0.5000307106443094,0.49173883668079355,0.22161,2.56654,0.044717120496871,0.19133,846.39567,346.29024,341.20274,1350.99386,453.51477,2405.79783,1406.41203,2788.52208,100.19643,708.08031,343.86314,308.79605,9.09786,110.03981,0.18143328773227008
8,3,3,1,0.5000307106443094,0.49173883668079355,0.18676,1.9643,0.04175275049265343,0.17898,446.14175,485.67884,344.40931,1690.92322,583.75202,2299.14369,1553.82872,2653.18313,142.96632,540.88936,257.70657,565.70349,47.61471,142.78178,0.1431900325078565
8,3,4,1,0.5000307106443094,0.49173883668079355,0.19574,1.9864,0.04359843593851483,0.2186,589.45502,589.14429,401.93255,1999.35106,676.646,2779.42203,1854.53236,3271.1212,174.41278,718.6818,272.5378,629.55669,58.35421,171.08803,0.15217135292798287
8,3,5,1,0.5000307106443094,0.49173883668079355,0.19438,1.98475,0.04330798776128876,0.21915,579.57864,556.7299,380.20302,1957.7738,693.79327,2783.45997,1837.83495,3310.23071,163.95695,731.80242,270.10283,613.25085,56.02989,155.7543,0.1725921326746657
8,3,6,1,0.5000307106443094,0.49173883668079355,0.1928,1.99271,0.0429001551511326,0.22007,551.42753,534.08895,384.6824,1946.36859,713.41691,2811.5015,1836.55281,3321.53251,157.74606,728.24311,260.54378,625.07143,63.13237,151.21648,0.14786068432780494
8,3,7,1,0.5000307106443094,0.49173883668079355,0.19214,1.99119,0.04276429861809609,0.22204,553.00207,542.58656,406.51487,1958.95943,719.62564,2767.3877,1857.01156,3265.98302,155.6386,719.74502,267.24989,586.37186,69.26833,150.91612,0.16823052162842556
8,4,1,1,0.5000307106443094,0.4999692893556907,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
8,4,2,1,0.5000307106443094,0.4999692893556907,0.22161,2.56654,0.044717120496871,0.19133,2128.72201,346.29024,885.04474,1350.99386,10331.86209,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3880.17028,3598.46034,2173.78306,110.03981,0.18908246975857224
8,4,3,1,0.5000307106443094,0.4999692893556907,0.19273,2.04185,0.04253316836708324,0.17112,2199.43406,455.56821,781.54277,1562.29163,8905.15163,2129.80266,1462.97974,2510.90163,123.9905,538.89166,3231.38709,2811.16443,1831.36741,139.37638,0.17185160507325853
8,4,4,1,0.5000307106443094,0.4999692893556907,0.19516,2.0559,0.042968707706282146,0.21454,2388.1858,534.14119,1096.53233,1894.16747,10118.52136,2561.72766,1803.20873,3036.85069,149.00442,646.07771,4125.50498,3591.74209,1921.05308,152.69809,0.18165259191724809
8,4,5,1,0.5000307106443094,0.4999692893556907,0.19787,2.04672,0.04363117189759171,0.21995,2464.18298,530.73093,1120.05412,1900.24087,10335.58906,2633.91515,1782.99493,3122.48136,167.40024,680.48623,4252.13753,3705.65922,1957.3389,149.81984,0.18412486854025012
8,4,6,1,0.5000307106443094,0.4999692893556907,0.19943,2.00201,0.04430563644824418,0.22173,2624.87902,527.8851,1083.75591,1909.54679,10854.03124,2713.02337,1812.75554,3210.0403,176.34498,718.59582,4287.71009,3764.56742,2088.97902,155.27787,0.18465605401956411
8,4,7,1,0.5000307106443094,0.4999692893556907,0.20103,1.98345,0.04479911688181754,0.22345,2695.72364,522.23014,1069.03095,1943.36112,11169.42528,2755.94788,1846.52407,3263.90007,174.80675,746.09177,4306.99764,3829.66708,2158.383,147.90535,0.1839050015450492
8,5,1,1,0.5000307106443094,0.5000307106443094,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.17132458079435303
8,5,2,1,0.5000307106443094,0.5000307106443094,0.22161,2.56654,0.044717120496871,0.19133,134.42676,346.29024,1014.50238,1350.99386,9005.3103,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3880.17028,3598.46034,2030.32417,110.03981,0.1897084083304694
8,5,3,1,0.5000307106443094,0.5000307106443094,0.1921,2.04822,0.04234880524356401,0.17155,212.47652,450.70872,903.90863,1570.22712,7706.72901,2139.87554,1487.90147,2505.85609,131.0655,536.69667,3246.94242,2804.29308,1693.60744,144.93811,0.1728142227867735
8,5,4,1,0.5000307106443094,0.5000307106443094,0.19424,2.04584,0.04283776541428646,0.2151,201.13968,530.36621,1237.03786,1894.44461,8814.68642,2581.14453,1803.14625,3051.30488,151.97754,646.27938,4133.90456,3595.15679,1806.23064,154.36377,0.1803897878815631
8,5,5,1,0.5000307106443094,0.5000307106443094,0.1992,2.04259,0.04395531639673223,0.22142,212.67009,538.77701,1279.3455,1914.05629,8986.83685,2629.8455,1796.63795,3123.25401,171.37321,695.59756,4278.986,3737.44255,1822.69479,154.64466,0.18577358736929153
8,5,6,1,0.5000307106443094,0.5000307106443094,0.20066,1.9992,0.04460033738828358,0.22302,238.92976,537.15027,1241.07976,1927.22672,9455.37512,2729.37792,1825.16243,3231.80766,175.5395,733.66541,4305.2132,3791.44517,1959.16081,160.30615,0.18626047386551492
8,5,7,1,0.5000307106443094,0.5000307106443094,0.20162,1.98118,0.04494787485604575,0.224,250.10209,527.47824,1220.35787,1954.55521,9708.58715,2768.7374,1848.9445,3280.80804,169.39576,754.51926,4314.09468,3819.96238,2021.23635,150.6316,0.18485072889013088
9,1,1,1,0.5000307106443094,0.5000307106443094,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.05457566798240117
9,1,2,1,0.5000307106443094,0.5000307106443094,0.22161,2.56654,0.044717120496871,0.19133,113688.04658,346.29024,46186.46437,1350.99386,244520.90565,2493.23909,1406.41203,2788.52208,100.19643,708.08031,343.86314,308.79605,188621.82503,110.03981,0.08970918542213431
9,1,3,1,0.5000307106443094,0.5000307106443094,0.19457,2.05866,0.04281766359029258,0.18304,101846.84123,409.33539,41089.78019,1486.09344,184241.53515,2344.56792,1449.17725,2675.1302,112.44591,565.41149,245.90017,576.4753,157727.70913,128.00217,0.055863753533224356
9,1,4,1,0.5000307106443094,0.5000307106443094,0.19168,2.0144,0.04249686906119823,0.21817,119164.72734,514.11539,50165.17021,1912.62538,217480.32088,2789.28445,1803.38226,3187.4022,153.90944,680.26006,280.87471,554.97882,163778.63251,167.17064,0.051715169250334675
9,1,5,1,0.5000307106443094,0.5000307106443094,0.18889,1.97761,0.04213537613134156,0.21553,118891.28428,520.94747,50693.72944,1925.64665,219516.69727,2793.94053,1830.05334,3194.55926,156.16707,687.55115,256.6065,371.66359,159959.24128,172.07815,0.04899995464368824
9,1,6,1,0.5000307106443094,0.5000307106443094,0.181,1.94474,0.04059526733558131,0.1998,114699.22738,497.97259,49146.57164,1808.39311,214164.20654,2630.09823,1688.83488,3020.1174,150.8322,641.97922,211.61615,38.11083,153989.53712,166.8272,0.03857679932420884
9,1,7,1,0.5000307106443094,0.5000307106443094,0.17677,1.93108,0.03973567469176849,0.19335,113283.64561,470.79085,48661.82291,1791.43211,212375.45581,2569.10672,1678.30126,2957.16354,144.01407,619.60873,178.36068,38.73984,152309.76054,168.36478,0.03227472309825251
9,2,1,1,0.5000307106443094,0.4999692893556907,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.16928565095225137
9,2,2,1,0.5000307106443094,0.4999692893556907,0.22161,2.56654,0.044717120496871,0.19133,1168.08232,346.29024,732.50901,1350.99386,425.82492,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3204.74484,2379.46983,319.15432,110.03981,0.19256427862697603
9,2,3,1,0.5000307106443094,0.4999692893556907,0.19075,1.98548,0.04249388107963784,0.17806,645.46247,487.47094,677.50888,1678.55003,600.0801,2290.34162,1577.0159,2637.61318,135.10417,554.85286,586.70258,542.30129,577.83054,145.92991,0.17212533138825628
9,2,4,1,0.5000307106443094,0.4999692893556907,0.19419,1.97735,0.043320079112515175,0.22099,730.89995,546.98725,854.33399,2003.22316,668.7384,2838.32912,1848.75951,3315.46084,163.5535,710.30226,836.84859,717.68016,736.55542,154.32023,0.17491098200556215
9,2,5,1,0.5000307106443094,0.4999692893556907,0.19443,1.98472,0.043319653958109564,0.2264,731.96964,557.02889,829.02825,2045.8864,707.2068,2862.86405,1878.19928,3356.76895,164.13473,729.21978,888.35861,744.0492,770.65581,157.61699,0.17525167740831374
9,2,6,1,0.5000307106443094,0.4999692893556907,0.1942,1.99073,0.04322468055511574,0.22781,758.63171,549.13853,874.86455,2060.76606,715.01261,2911.11291,1898.03739,3417.15414,168.04731,737.6427,909.41472,786.32391,783.33035,158.75151,0.17387199741167303
9,2,7,1,0.5000307106443094,0.4999692893556907,0.19285,1.98719,0.04295041370441838,0.22824,780.84748,550.71466,897.53052,2079.80143,709.35211,2923.01766,1912.3424,3423.40331,165.0179,730.82719,888.00792,813.77239,808.0,153.96161,0.1714930618961112
9,3,1,1,0.5000307106443094,0.49173883668079355,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
9,3,2,1,0.5000307106443094,0.49173883668079355,0.22161,2.56654,0.044717120496871,0.19133,846.39567,346.29024,341.20274,1350.99386,453.51477,2405.79783,1406.41203,2788.52208,100.19643,708.08031,343.86314,308.79605,9.09786,110.03981,0.18143328773227008
9,3,3,1,0.5000307106443094,0.49173883668079355,0.18676,1.9643,0.04175275049265343,0.17898,446.14175,485.67884,344.40931,1690.92322,583.75202,2299.14369,1553.82872,2653.18313,142.96632,540.88936,257.70657,565.70349,47.61471,142.78178,0.1431900325078565
