missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_accuracy_score
5,3,4,1,0.15052211302211302,0.15052211302211302,3.1932841932841933,1384.61,0.45,1071.66,0.3,717.55,0.3,4277.89,0.28,2.16,0.5,5540.95,0.29,3892.86,0.4,6505.49,0.34,369.8,0.14,1500.21,0.33,593.93,0.07,1299.11,0.04,119.56,0.33,309.25,0.1,0.19667968749999998
5,3,5,1,0.15052211302211302,0.15052211302211302,3.2297150610583447,1408.96,0.39,1056.21,0.3,735.21,0.32,4311.81,0.28,1.0,0.5,5624.4,0.29,3894.84,0.41,6604.87,0.34,362.32,0.14,1507.26,0.33,580.95,0.07,1258.85,0.04,120.4,0.33,297.08,0.1,0.19574631892984318
5,3,6,1,0.15052211302211302,0.15052211302211302,3.257177847326167,1356.15,0.43,1023.16,0.3,751.4,0.36,4217.47,0.28,1.24,0.5,5571.7,0.29,3905.85,0.41,6569.29,0.34,349.81,0.14,1487.63,0.33,558.7,0.07,1231.62,0.04,131.92,0.29,294.26,0.1,0.1958703573483347
5,3,7,1,0.15052211302211302,0.15052211302211302,3.311215340046903,1332.64,0.42,1000.15,0.3,728.53,0.31,4139.05,0.28,0.15,0.5,5655.36,0.29,3829.52,0.41,6643.47,0.34,342.69,0.14,1489.2,0.33,523.39,0.07,1200.9,0.04,131.49,0.31,297.86,0.1,0.19646742608473056
5,4,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,5584.1,0.41,1045.63,0.3,2212.51,0.32,4429.44,0.29,12299.91,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,9151.18,0.08,8293.63,0.05,4612.55,0.33,316.91,0.1,0.19600737100737098
5,4,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,4063.32,0.41,679.98,0.25,1976.87,0.33,3075.26,0.25,9491.47,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,7926.08,0.07,7764.39,0.02,3960.95,0.31,223.07,0.05,0.2092291154791155
5,4,3,1,0.15052211302211302,0.15052211302211302,3.1488105573884355,4079.72,0.45,839.58,0.3,1680.94,0.3,3341.77,0.28,9074.05,0.5,4191.89,0.29,3010.78,0.4,4960.7,0.33,256.89,0.15,1107.05,0.33,6812.26,0.07,6126.9,0.05,3403.32,0.33,245.82,0.1,0.20156531201607164
5,4,4,1,0.15052211302211302,0.15052211302211302,3.040755887745029,4561.42,0.41,1003.04,0.3,2228.43,0.35,4033.51,0.29,10413.2,0.5,5098.81,0.29,3660.73,0.4,6001.59,0.33,315.38,0.15,1341.13,0.32,8453.42,0.08,7732.12,0.04,3751.58,0.32,287.85,0.1,0.20416710292116014
5,4,5,1,0.15052211302211302,0.15052211302211302,3.037953795379538,4698.1,0.39,1028.6,0.3,2292.43,0.32,4103.37,0.29,10682.96,0.51,5222.26,0.29,3746.86,0.4,6144.48,0.33,342.52,0.15,1402.83,0.32,8705.15,0.08,8015.61,0.04,3846.61,0.33,291.72,0.1,0.20164146574036235
5,4,6,1,0.15052211302211302,0.15052211302211302,3.060992138791,4849.7,0.47,1029.01,0.3,2283.72,0.35,4126.81,0.29,11088.59,0.51,5350.23,0.29,3763.22,0.4,6294.33,0.33,346.75,0.15,1422.0,0.33,8837.46,0.08,8144.35,0.04,3971.23,0.33,282.54,0.1,0.20035378145651161
5,4,7,1,0.15052211302211302,0.15052211302211302,3.0777628032345015,4907.55,0.38,1028.15,0.3,2260.15,0.34,4179.21,0.29,11248.91,0.51,5468.32,0.29,3806.88,0.4,6393.81,0.33,341.61,0.15,1463.41,0.33,8848.78,0.08,8223.72,0.04,4063.31,0.3,281.76,0.1,0.19922662524374524
5,5,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,449.46,0.41,1045.63,0.3,2505.54,0.32,4429.44,0.29,10762.16,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,9151.18,0.08,8293.63,0.05,4279.49,0.33,316.91,0.1,0.19628378378378375
5,5,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,232.45,0.41,679.98,0.25,2225.29,0.33,3075.26,0.25,8279.18,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,7926.08,0.07,7764.39,0.02,3687.63,0.31,223.07,0.05,0.20945945945945943
5,5,3,1,0.15052211302211302,0.15052211302211302,3.1566828254847645,335.93,0.47,862.08,0.3,1906.5,0.29,3366.1,0.28,7981.91,0.5,4160.3,0.29,2987.94,0.4,4921.86,0.33,248.96,0.15,1129.59,0.33,6813.59,0.08,6146.1,0.05,3194.33,0.33,254.12,0.1,0.2008413511599817
5,5,4,1,0.15052211302211302,0.15052211302211302,3.0341115615825527,322.71,0.41,1011.75,0.3,2538.75,0.34,4084.97,0.29,9147.26,0.5,5143.51,0.29,3694.68,0.4,6038.61,0.33,323.68,0.15,1332.38,0.32,8537.81,0.08,7832.36,0.04,3471.2,0.32,285.97,0.1,0.20338924313834206
5,5,5,1,0.15052211302211302,0.15052211302211302,3.0410228360453986,345.78,0.42,1014.45,0.3,2580.04,0.36,4132.77,0.29,9426.07,0.51,5229.41,0.29,3763.17,0.4,6152.03,0.33,343.76,0.15,1408.69,0.32,8743.29,0.08,8046.14,0.04,3589.24,0.33,285.62,0.1,0.20127233351380613
5,5,6,1,0.15052211302211302,0.15052211302211302,3.062407332524599,356.39,0.41,1017.1,0.3,2574.96,0.32,4170.91,0.29,9737.76,0.51,5358.28,0.29,3805.73,0.4,6311.12,0.33,341.35,0.15,1435.35,0.33,8876.99,0.08,8204.3,0.04,3703.02,0.33,285.82,0.1,0.20007299512259857
5,5,7,1,0.15052211302211302,0.15052211302211302,3.0873825503355703,368.73,0.45,1033.4,0.3,2542.77,0.34,4216.5,0.29,9927.39,0.51,5509.3,0.29,3837.94,0.4,6427.52,0.33,342.41,0.15,1476.67,0.33,8882.05,0.08,8244.91,0.04,3807.16,0.32,285.14,0.1,0.19828577058224683
6,1,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,256991.61,0.41,1045.63,0.15,105269.17,0.32,4429.44,0.15,111413.08,0.5,5803.9,0.15,4031.66,0.15,6698.63,0.15,330.95,0.15,1517.53,0.15,692.98,0.08,1518.91,0.05,344649.23,0.33,316.91,0.15,0.211517199017199
6,1,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,229342.37,0.41,679.98,0.15,97357.03,0.33,3075.26,0.15,92403.5,0.46,4585.56,0.15,2974.13,0.15,5204.07,0.15,181.02,0.15,1271.13,0.15,784.94,0.07,453.86,0.02,373598.06,0.31,223.07,0.15,0.21575552825552824
6,1,3,1,0.15052211302211302,0.15052211302211302,3.0911484040802897,209651.8,0.43,807.67,0.15,81222.72,0.34,3381.38,0.15,85729.69,0.49,4591.29,0.15,3125.87,0.15,5252.12,0.15,257.76,0.15,1179.31,0.15,502.66,0.08,1143.29,0.05,326242.58,0.3,263.54,0.15,0.2144695568245798
6,1,4,1,0.15052211302211302,0.15052211302211302,3.1498371335504887,250304.16,0.39,995.54,0.15,100887.66,0.32,4075.18,0.15,104932.31,0.5,5577.61,0.15,3791.38,0.15,6422.38,0.15,323.49,0.15,1410.78,0.15,602.54,0.08,1358.07,0.04,357069.51,0.3,307.92,0.15,0.21245421245421248
6,1,5,1,0.15052211302211302,0.15052211302211302,3.2058665231431647,248858.5,0.45,971.79,0.15,103723.03,0.32,4203.38,0.15,106979.43,0.5,5580.3,0.15,3858.13,0.15,6432.86,0.15,325.49,0.15,1422.1,0.15,592.26,0.07,1132.51,0.04,337931.57,0.33,304.39,0.15,0.21220167637084908
6,1,6,1,0.15052211302211302,0.15052211302211302,3.2657775333425,245603.78,0.45,972.18,0.15,104129.2,0.3,4060.52,0.15,105878.35,0.5,5545.03,0.15,3776.53,0.15,6378.73,0.15,311.62,0.15,1414.23,0.15,566.5,0.07,747.35,0.02,329827.56,0.34,301.53,0.15,0.20918614020950843
6,1,7,1,0.15052211302211302,0.15052211302211302,3.3494784969281324,239447.57,0.47,925.61,0.15,103643.85,0.32,3965.34,0.15,103725.82,0.5,5376.11,0.15,3649.57,0.15,6189.01,0.15,294.91,0.15,1370.39,0.15,523.33,0.06,346.99,0.01,322911.05,0.31,294.47,0.15,0.20619538795085735
6,2,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,1596.34,0.41,1045.63,0.3,1596.34,0.32,4429.44,0.29,1596.34,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,1596.34,0.08,1596.34,0.05,1596.34,0.33,316.91,0.1,0.1955466830466831
6,2,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,2072.87,0.41,679.98,0.25,2353.84,0.33,3075.26,0.25,1570.38,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,6325.3,0.07,7227.05,0.02,919.81,0.31,223.07,0.05,0.20803900491400495
6,2,3,1,0.15052211302211302,0.15052211302211302,3.132464533157374,1305.33,0.37,834.91,0.3,1348.8,0.29,3449.74,0.29,1143.3,0.5,4538.97,0.29,3138.9,0.4,5339.7,0.33,280.49,0.14,1197.64,0.33,1424.9,0.07,1196.06,0.05,1132.2,0.33,253.18,0.1,0.1976368208853938
6,2,4,1,0.15052211302211302,0.15052211302211302,3.1313199406768235,1524.75,0.43,993.25,0.3,1646.64,0.3,4216.89,0.29,1428.28,0.5,5556.56,0.29,3843.63,0.4,6508.85,0.34,322.96,0.15,1479.91,0.33,1683.33,0.08,1555.51,0.05,1464.22,0.32,293.72,0.1,0.19838783369231772
6,2,5,1,0.15052211302211302,0.15052211302211302,3.1546419098143237,1578.76,0.44,1026.42,0.3,1649.57,0.29,4277.65,0.29,1480.15,0.5,5704.13,0.29,3890.24,0.41,6689.19,0.34,323.09,0.15,1511.67,0.33,1763.38,0.08,1629.68,0.05,1503.44,0.34,296.62,0.1,0.19753559343676175
6,2,6,1,0.15052211302211302,0.15052211302211302,3.1713005666095664,1628.92,0.38,1033.03,0.3,1672.83,0.32,4324.21,0.29,1495.56,0.5,5754.51,0.29,3939.19,0.41,6740.53,0.34,330.78,0.15,1519.41,0.33,1889.6,0.08,1722.07,0.04,1566.25,0.32,296.8,0.1,0.19648723780641897
6,2,7,1,0.15052211302211302,0.15052211302211302,3.1842590155304027,1659.69,0.44,1029.67,0.3,1741.27,0.3,4320.83,0.29,1500.17,0.5,5765.68,0.29,3934.96,0.41,6745.13,0.34,335.05,0.15,1522.16,0.33,2015.46,0.08,1747.8,0.04,1606.2,0.31,298.64,0.1,0.1961814292903875
6,3,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,1314.21,0.41,1045.63,0.3,708.51,0.32,4429.44,0.29,8.73,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,692.98,0.08,1518.91,0.05,121.86,0.33,316.91,0.1,0.19953931203931208
6,3,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,1695.42,0.41,679.98,0.25,1240.91,0.33,3075.26,0.25,29.44,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,784.94,0.07,453.86,0.02,0.27,0.31,223.07,0.05,0.21187807125307123
6,3,3,1,0.15052211302211302,0.15052211302211302,3.1467168822662517,1071.41,0.41,890.41,0.3,641.18,0.34,3539.39,0.29,3.47,0.5,4408.44,0.29,3326.33,0.41,5173.08,0.34,282.53,0.15,1183.94,0.33,536.03,0.08,1172.27,0.05,91.11,0.31,269.0,0.11,0.1984283683462328
6,3,4,1,0.15052211302211302,0.15052211302211302,3.1932841932841933,1384.61,0.45,1071.66,0.3,717.55,0.3,4277.89,0.28,2.16,0.5,5540.95,0.29,3892.86,0.4,6505.49,0.34,369.8,0.14,1500.21,0.33,593.93,0.07,1299.11,0.04,119.56,0.33,309.25,0.1,0.19667968749999998
6,3,5,1,0.15052211302211302,0.15052211302211302,3.2297150610583447,1408.96,0.39,1056.21,0.3,735.21,0.32,4311.81,0.28,1.0,0.5,5624.4,0.29,3894.84,0.41,6604.87,0.34,362.32,0.14,1507.26,0.33,580.95,0.07,1258.85,0.04,120.4,0.33,297.08,0.1,0.19574631892984318
6,3,6,1,0.15052211302211302,0.15052211302211302,3.257177847326167,1356.15,0.43,1023.16,0.3,751.4,0.36,4217.47,0.28,1.24,0.5,5571.7,0.29,3905.85,0.41,6569.29,0.34,349.81,0.14,1487.63,0.33,558.7,0.07,1231.62,0.04,131.92,0.29,294.26,0.1,0.1958703573483347
6,3,7,1,0.15052211302211302,0.15052211302211302,3.311215340046903,1332.64,0.42,1000.15,0.3,728.53,0.31,4139.05,0.28,0.15,0.5,5655.36,0.29,3829.52,0.41,6643.47,0.34,342.69,0.14,1489.2,0.33,523.39,0.07,1200.9,0.04,131.49,0.31,297.86,0.1,0.19646742608473056
6,4,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,5584.1,0.41,1045.63,0.3,2212.51,0.32,4429.44,0.29,12299.91,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,9151.18,0.08,8293.63,0.05,4612.55,0.33,316.91,0.1,0.19600737100737098
6,4,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,4063.32,0.41,679.98,0.25,1976.87,0.33,3075.26,0.25,9491.47,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,7926.08,0.07,7764.39,0.02,3960.95,0.31,223.07,0.05,0.2092291154791155
6,4,3,1,0.15052211302211302,0.15052211302211302,3.1488105573884355,4079.72,0.45,839.58,0.3,1680.94,0.3,3341.77,0.28,9074.05,0.5,4191.89,0.29,3010.78,0.4,4960.7,0.33,256.89,0.15,1107.05,0.33,6812.26,0.07,6126.9,0.05,3403.32,0.33,245.82,0.1,0.20156531201607164
6,4,4,1,0.15052211302211302,0.15052211302211302,3.040755887745029,4561.42,0.41,1003.04,0.3,2228.43,0.35,4033.51,0.29,10413.2,0.5,5098.81,0.29,3660.73,0.4,6001.59,0.33,315.38,0.15,1341.13,0.32,8453.42,0.08,7732.12,0.04,3751.58,0.32,287.85,0.1,0.20416710292116014
6,4,5,1,0.15052211302211302,0.15052211302211302,3.037953795379538,4698.1,0.39,1028.6,0.3,2292.43,0.32,4103.37,0.29,10682.96,0.51,5222.26,0.29,3746.86,0.4,6144.48,0.33,342.52,0.15,1402.83,0.32,8705.15,0.08,8015.61,0.04,3846.61,0.33,291.72,0.1,0.20164146574036235
6,4,6,1,0.15052211302211302,0.15052211302211302,3.060992138791,4849.7,0.47,1029.01,0.3,2283.72,0.35,4126.81,0.29,11088.59,0.51,5350.23,0.29,3763.22,0.4,6294.33,0.33,346.75,0.15,1422.0,0.33,8837.46,0.08,8144.35,0.04,3971.23,0.33,282.54,0.1,0.20035378145651161
6,4,7,1,0.15052211302211302,0.15052211302211302,3.0777628032345015,4907.55,0.38,1028.15,0.3,2260.15,0.34,4179.21,0.29,11248.91,0.51,5468.32,0.29,3806.88,0.4,6393.81,0.33,341.61,0.15,1463.41,0.33,8848.78,0.08,8223.72,0.04,4063.31,0.3,281.76,0.1,0.19922662524374524
6,5,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,449.46,0.41,1045.63,0.3,2505.54,0.32,4429.44,0.29,10762.16,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,9151.18,0.08,8293.63,0.05,4279.49,0.33,316.91,0.1,0.19628378378378375
6,5,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,232.45,0.41,679.98,0.25,2225.29,0.33,3075.26,0.25,8279.18,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,7926.08,0.07,7764.39,0.02,3687.63,0.31,223.07,0.05,0.20945945945945943
6,5,3,1,0.15052211302211302,0.15052211302211302,3.1566828254847645,335.93,0.47,862.08,0.3,1906.5,0.29,3366.1,0.28,7981.91,0.5,4160.3,0.29,2987.94,0.4,4921.86,0.33,248.96,0.15,1129.59,0.33,6813.59,0.08,6146.1,0.05,3194.33,0.33,254.12,0.1,0.2008413511599817
6,5,4,1,0.15052211302211302,0.15052211302211302,3.0341115615825527,322.71,0.41,1011.75,0.3,2538.75,0.34,4084.97,0.29,9147.26,0.5,5143.51,0.29,3694.68,0.4,6038.61,0.33,323.68,0.15,1332.38,0.32,8537.81,0.08,7832.36,0.04,3471.2,0.32,285.97,0.1,0.20338924313834206
6,5,5,1,0.15052211302211302,0.15052211302211302,3.0410228360453986,345.78,0.42,1014.45,0.3,2580.04,0.36,4132.77,0.29,9426.07,0.51,5229.41,0.29,3763.17,0.4,6152.03,0.33,343.76,0.15,1408.69,0.32,8743.29,0.08,8046.14,0.04,3589.24,0.33,285.62,0.1,0.20127233351380613
6,5,6,1,0.15052211302211302,0.15052211302211302,3.062407332524599,356.39,0.41,1017.1,0.3,2574.96,0.32,4170.91,0.29,9737.76,0.51,5358.28,0.29,3805.73,0.4,6311.12,0.33,341.35,0.15,1435.35,0.33,8876.99,0.08,8204.3,0.04,3703.02,0.33,285.82,0.1,0.20007299512259857
6,5,7,1,0.15052211302211302,0.15052211302211302,3.0873825503355703,368.73,0.45,1033.4,0.3,2542.77,0.34,4216.5,0.29,9927.39,0.51,5509.3,0.29,3837.94,0.4,6427.52,0.33,342.41,0.15,1476.67,0.33,8882.05,0.08,8244.91,0.04,3807.16,0.32,285.14,0.1,0.19828577058224683
7,1,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,256991.61,0.41,1045.63,0.15,105269.17,0.32,4429.44,0.15,111413.08,0.5,5803.9,0.15,4031.66,0.15,6698.63,0.15,330.95,0.15,1517.53,0.15,692.98,0.08,1518.91,0.05,344649.23,0.33,316.91,0.15,0.211517199017199
7,1,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,229342.37,0.41,679.98,0.15,97357.03,0.33,3075.26,0.15,92403.5,0.46,4585.56,0.15,2974.13,0.15,5204.07,0.15,181.02,0.15,1271.13,0.15,784.94,0.07,453.86,0.02,373598.06,0.31,223.07,0.15,0.21575552825552824
7,1,3,1,0.15052211302211302,0.15052211302211302,3.0911484040802897,209651.8,0.43,807.67,0.15,81222.72,0.34,3381.38,0.15,85729.69,0.49,4591.29,0.15,3125.87,0.15,5252.12,0.15,257.76,0.15,1179.31,0.15,502.66,0.08,1143.29,0.05,326242.58,0.3,263.54,0.15,0.2144695568245798
7,1,4,1,0.15052211302211302,0.15052211302211302,3.1498371335504887,250304.16,0.39,995.54,0.15,100887.66,0.32,4075.18,0.15,104932.31,0.5,5577.61,0.15,3791.38,0.15,6422.38,0.15,323.49,0.15,1410.78,0.15,602.54,0.08,1358.07,0.04,357069.51,0.3,307.92,0.15,0.21245421245421248
7,1,5,1,0.15052211302211302,0.15052211302211302,3.2058665231431647,248858.5,0.45,971.79,0.15,103723.03,0.32,4203.38,0.15,106979.43,0.5,5580.3,0.15,3858.13,0.15,6432.86,0.15,325.49,0.15,1422.1,0.15,592.26,0.07,1132.51,0.04,337931.57,0.33,304.39,0.15,0.21220167637084908
7,1,6,1,0.15052211302211302,0.15052211302211302,3.2657775333425,245603.78,0.45,972.18,0.15,104129.2,0.3,4060.52,0.15,105878.35,0.5,5545.03,0.15,3776.53,0.15,6378.73,0.15,311.62,0.15,1414.23,0.15,566.5,0.07,747.35,0.02,329827.56,0.34,301.53,0.15,0.20918614020950843
7,1,7,1,0.15052211302211302,0.15052211302211302,3.3494784969281324,239447.57,0.47,925.61,0.15,103643.85,0.32,3965.34,0.15,103725.82,0.5,5376.11,0.15,3649.57,0.15,6189.01,0.15,294.91,0.15,1370.39,0.15,523.33,0.06,346.99,0.01,322911.05,0.31,294.47,0.15,0.20619538795085735
7,2,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,1596.34,0.41,1045.63,0.3,1596.34,0.32,4429.44,0.29,1596.34,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,1596.34,0.08,1596.34,0.05,1596.34,0.33,316.91,0.1,0.1955466830466831
7,2,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,2072.87,0.41,679.98,0.25,2353.84,0.33,3075.26,0.25,1570.38,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,6325.3,0.07,7227.05,0.02,919.81,0.31,223.07,0.05,0.20803900491400495
7,2,3,1,0.15052211302211302,0.15052211302211302,3.132464533157374,1305.33,0.37,834.91,0.3,1348.8,0.29,3449.74,0.29,1143.3,0.5,4538.97,0.29,3138.9,0.4,5339.7,0.33,280.49,0.14,1197.64,0.33,1424.9,0.07,1196.06,0.05,1132.2,0.33,253.18,0.1,0.1976368208853938
7,2,4,1,0.15052211302211302,0.15052211302211302,3.1313199406768235,1524.75,0.43,993.25,0.3,1646.64,0.3,4216.89,0.29,1428.28,0.5,5556.56,0.29,3843.63,0.4,6508.85,0.34,322.96,0.15,1479.91,0.33,1683.33,0.08,1555.51,0.05,1464.22,0.32,293.72,0.1,0.19838783369231772
7,2,5,1,0.15052211302211302,0.15052211302211302,3.1546419098143237,1578.76,0.44,1026.42,0.3,1649.57,0.29,4277.65,0.29,1480.15,0.5,5704.13,0.29,3890.24,0.41,6689.19,0.34,323.09,0.15,1511.67,0.33,1763.38,0.08,1629.68,0.05,1503.44,0.34,296.62,0.1,0.19753559343676175
7,2,6,1,0.15052211302211302,0.15052211302211302,3.1713005666095664,1628.92,0.38,1033.03,0.3,1672.83,0.32,4324.21,0.29,1495.56,0.5,5754.51,0.29,3939.19,0.41,6740.53,0.34,330.78,0.15,1519.41,0.33,1889.6,0.08,1722.07,0.04,1566.25,0.32,296.8,0.1,0.19648723780641897
7,2,7,1,0.15052211302211302,0.15052211302211302,3.1842590155304027,1659.69,0.44,1029.67,0.3,1741.27,0.3,4320.83,0.29,1500.17,0.5,5765.68,0.29,3934.96,0.41,6745.13,0.34,335.05,0.15,1522.16,0.33,2015.46,0.08,1747.8,0.04,1606.2,0.31,298.64,0.1,0.1961814292903875
7,3,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,1314.21,0.41,1045.63,0.3,708.51,0.32,4429.44,0.29,8.73,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,692.98,0.08,1518.91,0.05,121.86,0.33,316.91,0.1,0.19953931203931208
7,3,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,1695.42,0.41,679.98,0.25,1240.91,0.33,3075.26,0.25,29.44,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,784.94,0.07,453.86,0.02,0.27,0.31,223.07,0.05,0.21187807125307123
7,3,3,1,0.15052211302211302,0.15052211302211302,3.1467168822662517,1071.41,0.41,890.41,0.3,641.18,0.34,3539.39,0.29,3.47,0.5,4408.44,0.29,3326.33,0.41,5173.08,0.34,282.53,0.15,1183.94,0.33,536.03,0.08,1172.27,0.05,91.11,0.31,269.0,0.11,0.1984283683462328
7,3,4,1,0.15052211302211302,0.15052211302211302,3.1932841932841933,1384.61,0.45,1071.66,0.3,717.55,0.3,4277.89,0.28,2.16,0.5,5540.95,0.29,3892.86,0.4,6505.49,0.34,369.8,0.14,1500.21,0.33,593.93,0.07,1299.11,0.04,119.56,0.33,309.25,0.1,0.19667968749999998
7,3,5,1,0.15052211302211302,0.15052211302211302,3.2297150610583447,1408.96,0.39,1056.21,0.3,735.21,0.32,4311.81,0.28,1.0,0.5,5624.4,0.29,3894.84,0.41,6604.87,0.34,362.32,0.14,1507.26,0.33,580.95,0.07,1258.85,0.04,120.4,0.33,297.08,0.1,0.19574631892984318
7,3,6,1,0.15052211302211302,0.15052211302211302,3.257177847326167,1356.15,0.43,1023.16,0.3,751.4,0.36,4217.47,0.28,1.24,0.5,5571.7,0.29,3905.85,0.41,6569.29,0.34,349.81,0.14,1487.63,0.33,558.7,0.07,1231.62,0.04,131.92,0.29,294.26,0.1,0.1958703573483347
7,3,7,1,0.15052211302211302,0.15052211302211302,3.311215340046903,1332.64,0.42,1000.15,0.3,728.53,0.31,4139.05,0.28,0.15,0.5,5655.36,0.29,3829.52,0.41,6643.47,0.34,342.69,0.14,1489.2,0.33,523.39,0.07,1200.9,0.04,131.49,0.31,297.86,0.1,0.19646742608473056
7,4,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,5584.1,0.41,1045.63,0.3,2212.51,0.32,4429.44,0.29,12299.91,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,9151.18,0.08,8293.63,0.05,4612.55,0.33,316.91,0.1,0.19600737100737098
7,4,2,1,0.15052211302211302,0.15052211302211302,3.109813821394762,4063.32,0.41,679.98,0.25,1976.87,0.33,3075.26,0.25,9491.47,0.46,4464.41,0.26,2974.13,0.38,5204.07,0.3,181.02,0.09,1271.13,0.29,7926.08,0.07,7764.39,0.02,3960.95,0.31,223.07,0.05,0.2092291154791155
7,4,3,1,0.15052211302211302,0.15052211302211302,3.1488105573884355,4079.72,0.45,839.58,0.3,1680.94,0.3,3341.77,0.28,9074.05,0.5,4191.89,0.29,3010.78,0.4,4960.7,0.33,256.89,0.15,1107.05,0.33,6812.26,0.07,6126.9,0.05,3403.32,0.33,245.82,0.1,0.20156531201607164
7,4,4,1,0.15052211302211302,0.15052211302211302,3.040755887745029,4561.42,0.41,1003.04,0.3,2228.43,0.35,4033.51,0.29,10413.2,0.5,5098.81,0.29,3660.73,0.4,6001.59,0.33,315.38,0.15,1341.13,0.32,8453.42,0.08,7732.12,0.04,3751.58,0.32,287.85,0.1,0.20416710292116014
7,4,5,1,0.15052211302211302,0.15052211302211302,3.037953795379538,4698.1,0.39,1028.6,0.3,2292.43,0.32,4103.37,0.29,10682.96,0.51,5222.26,0.29,3746.86,0.4,6144.48,0.33,342.52,0.15,1402.83,0.32,8705.15,0.08,8015.61,0.04,3846.61,0.33,291.72,0.1,0.20164146574036235
7,4,6,1,0.15052211302211302,0.15052211302211302,3.060992138791,4849.7,0.47,1029.01,0.3,2283.72,0.35,4126.81,0.29,11088.59,0.51,5350.23,0.29,3763.22,0.4,6294.33,0.33,346.75,0.15,1422.0,0.33,8837.46,0.08,8144.35,0.04,3971.23,0.33,282.54,0.1,0.20035378145651161
7,4,7,1,0.15052211302211302,0.15052211302211302,3.0777628032345015,4907.55,0.38,1028.15,0.3,2260.15,0.34,4179.21,0.29,11248.91,0.51,5468.32,0.29,3806.88,0.4,6393.81,0.33,341.61,0.15,1463.41,0.33,8848.78,0.08,8223.72,0.04,4063.31,0.3,281.76,0.1,0.19922662524374524
7,5,1,1,0.15052211302211302,0.15052211302211302,3.152531564851422,449.46,0.41,1045.63,0.3,2505.54,0.32,4429.44,0.29,10762.16,0.5,5686.64,0.29,4031.66,0.41,6698.63,0.34,330.95,0.15,1517.53,0.33,9151.18,0.08,8293.63,0.05,4279.49,0.33,316.91,0.1,0.19628378378378375
