sampling,invalid_value,missing_value,floating_point,normalization,model,outlier_bef_normalization_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
4,2,2,4,4,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,2172.3,0.3,1655.03,0.32,2208.48,0.02,333.03,0.51,1278.42,0.59,1316.17,0.31,0.11896551724137927
3,1,3,4,5,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,1498.4,0.24,412.58,0.36,3021.82,0.02,148.76,0.41,555.25,0.58,331.31,0.3,0.11867704280155644
2,4,8,2,5,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,2357.09,0.27,720.6,0.35,5992.16,0.01,242.37,0.53,935.64,0.44,626.98,0.27,0.09987029831387806
2,1,7,3,1,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,327.65,0.27,720.6,0.35,94.45,0.01,3514.99,0.53,2671.1,0.44,1381.69,0.27,0.09987029831387806
4,1,8,1,4,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,2172.3,0.3,1655.03,0.32,2208.48,0.02,333.03,0.51,1278.42,0.59,1316.17,0.31,0.11896551724137927
4,4,6,2,4,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,2172.3,0.3,1655.03,0.32,2208.48,0.02,333.03,0.51,1278.42,0.59,1316.17,0.31,0.11896551724137927
2,4,6,2,3,1,0.41245136186770426,9.012987012987013,3808.51,0.36,4024.74,1.0,572.88,0.27,720.6,0.35,5992.16,0.01,2238.55,0.53,1145.26,0.44,359.78,0.27,0.09987029831387806
3,1,2,1,1,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,205.39,0.24,412.58,0.36,80.18,0.02,2018.6,0.41,1562.15,0.58,859.08,0.3,0.11867704280155644
2,3,6,2,5,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,2357.09,0.27,720.6,0.35,5992.16,0.01,242.37,0.53,935.64,0.44,626.98,0.27,0.09987029831387806
3,1,7,3,4,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,741.26,0.24,412.58,0.36,641.6,0.02,148.76,0.41,432.77,0.58,331.31,0.3,0.12062256809338523
3,3,1,3,4,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,741.26,0.24,412.58,0.36,641.6,0.02,148.76,0.41,432.77,0.58,331.31,0.3,0.12062256809338523
2,3,1,2,3,1,0.41245136186770426,9.012987012987013,3808.51,0.36,4024.74,1.0,572.88,0.27,720.6,0.35,5992.16,0.01,2238.55,0.53,1145.26,0.44,359.78,0.27,0.09987029831387806
4,1,3,2,5,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,4355.62,0.3,1655.03,0.32,10730.31,0.02,333.03,0.51,1653.11,0.59,1316.17,0.31,0.11609195402298855
4,1,3,4,1,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,882.95,0.3,1655.03,0.32,264.2,0.02,9056.22,0.51,6041.57,0.59,2611.16,0.31,0.1155172413793103
4,2,9,2,3,1,0.4591954022988506,7.365384615384615,3794.76,1.0,8545.11,1.0,999.69,0.3,1655.03,0.32,10730.31,0.02,4534.1,0.51,4488.55,0.59,3505.82,0.31,0.11609195402298855
3,1,6,3,4,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,741.26,0.24,412.58,0.36,641.6,0.02,148.76,0.41,432.77,0.58,331.31,0.3,0.12062256809338523
4,3,4,2,3,1,0.4591954022988506,7.365384615384615,3794.76,1.0,8545.11,1.0,999.69,0.3,1655.03,0.32,10730.31,0.02,4534.1,0.51,4488.55,0.59,3505.82,0.31,0.11609195402298855
4,2,2,2,1,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,882.95,0.3,1655.03,0.32,264.2,0.02,9056.22,0.51,6041.57,0.59,2611.16,0.31,0.1155172413793103
1,1,7,3,4,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4075.1,0.02,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
2,3,2,4,3,1,0.41245136186770426,9.012987012987013,3808.51,0.36,4024.74,1.0,572.88,0.27,720.6,0.35,5992.16,0.01,2238.55,0.53,1145.26,0.44,359.78,0.27,0.09987029831387806
4,1,5,3,3,1,0.4591954022988506,7.365384615384615,3794.76,1.0,8545.11,1.0,999.69,0.3,1655.03,0.32,10730.31,0.02,4534.1,0.51,4488.55,0.59,3505.82,0.31,0.11609195402298855
2,1,4,1,2,1,0.41245136186770426,9.012987012987013,572.42,0.36,572.42,1.0,572.42,0.27,572.42,0.35,572.42,0.01,572.42,0.53,572.42,0.44,572.42,0.27,0.09727626459143968
3,3,6,2,5,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,1498.4,0.24,412.58,0.36,3021.82,0.02,148.76,0.41,555.25,0.58,331.31,0.3,0.11867704280155644
1,2,2,2,5,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,8312.69,0.24,2592.36,0.34,18304.32,0.02,844.51,0.37,3125.5,0.6,1963.5,0.27,0.09844357976653695
2,4,5,3,3,1,0.41245136186770426,9.012987012987013,3808.51,0.36,4024.74,1.0,572.88,0.27,720.6,0.35,5992.16,0.01,2238.55,0.53,1145.26,0.44,359.78,0.27,0.09987029831387806
2,4,9,2,4,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,1250.7,0.27,720.6,0.35,1290.25,0.01,242.37,0.53,742.92,0.44,626.98,0.27,0.09987029831387806
2,3,8,2,4,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,1250.7,0.27,720.6,0.35,1290.25,0.01,242.37,0.53,742.92,0.44,626.98,0.27,0.09987029831387806
2,1,1,2,5,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,2357.09,0.27,720.6,0.35,5992.16,0.01,242.37,0.53,935.64,0.44,626.98,0.27,0.09987029831387806
1,2,7,1,4,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4075.1,0.02,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
2,4,6,3,1,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,327.65,0.27,720.6,0.35,94.45,0.01,3514.99,0.53,2671.1,0.44,1381.69,0.27,0.09987029831387806
2,4,1,4,3,1,0.41245136186770426,9.012987012987013,3808.51,0.36,4024.74,1.0,572.88,0.27,720.6,0.35,5992.16,0.01,2238.55,0.53,1145.26,0.44,359.78,0.27,0.09987029831387806
3,3,4,2,4,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,741.26,0.24,412.58,0.36,641.6,0.02,148.76,0.41,432.77,0.58,331.31,0.3,0.12062256809338523
1,3,1,3,4,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4075.1,0.02,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
1,4,4,4,1,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,336.87,0.02,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
1,2,2,2,4,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4075.1,0.02,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
1,3,1,1,3,1,0.411284046692607,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,18304.32,0.02,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09805447470817119
4,1,3,4,5,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,4355.62,0.3,1655.03,0.32,10730.31,0.02,333.03,0.51,1653.11,0.59,1316.17,0.31,0.11609195402298855
3,2,4,3,3,1,0.37937743190661477,7.426229508196721,2326.63,0.34,2450.73,1.0,416.79,0.24,412.58,0.36,3021.82,0.02,1477.98,0.41,357.8,0.58,209.8,0.3,0.11867704280155644
2,1,2,4,3,1,0.41245136186770426,9.012987012987013,3808.51,0.36,4024.74,1.0,572.88,0.27,720.6,0.35,5992.16,0.01,2238.55,0.53,1145.26,0.44,359.78,0.27,0.09987029831387806
2,2,8,1,1,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,327.65,0.27,720.6,0.35,94.45,0.01,3514.99,0.53,2671.1,0.44,1381.69,0.27,0.09987029831387806
2,2,7,2,3,1,0.41245136186770426,9.012987012987013,3808.51,0.36,4024.74,1.0,572.88,0.27,720.6,0.35,5992.16,0.01,2238.55,0.53,1145.26,0.44,359.78,0.27,0.09987029831387806
4,1,6,3,3,1,0.4591954022988506,7.365384615384615,3794.76,1.0,8545.11,1.0,999.69,0.3,1655.03,0.32,10730.31,0.02,4534.1,0.51,4488.55,0.59,3505.82,0.31,0.11609195402298855
3,4,4,2,1,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,205.39,0.24,412.58,0.36,80.18,0.02,2018.6,0.41,1562.15,0.58,859.08,0.3,0.11867704280155644
1,2,5,2,1,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,336.87,0.02,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
3,3,2,2,2,1,0.37937743190661477,7.426229508196721,360.73,0.34,360.73,1.0,360.73,0.24,360.73,0.36,360.73,0.02,360.73,0.41,360.73,0.58,360.73,0.3,0.11867704280155644
3,3,7,4,4,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,741.26,0.24,412.58,0.36,641.6,0.02,148.76,0.41,432.77,0.58,331.31,0.3,0.12062256809338523
2,1,6,4,5,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,2357.09,0.27,720.6,0.35,5992.16,0.01,242.37,0.53,935.64,0.44,626.98,0.27,0.09987029831387806
1,1,1,1,3,1,0.411284046692607,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,18304.32,0.02,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09805447470817119
3,2,3,4,3,1,0.37937743190661477,7.426229508196721,2326.63,0.34,2450.73,1.0,416.79,0.24,412.58,0.36,3021.82,0.02,1477.98,0.41,357.8,0.58,209.8,0.3,0.11867704280155644
4,4,3,1,5,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,4355.62,0.3,1655.03,0.32,10730.31,0.02,333.03,0.51,1653.11,0.59,1316.17,0.31,0.11609195402298855
3,2,6,3,5,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,1498.4,0.24,412.58,0.36,3021.82,0.02,148.76,0.41,555.25,0.58,331.31,0.3,0.11867704280155644
2,4,9,1,1,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,327.65,0.27,720.6,0.35,94.45,0.01,3514.99,0.53,2671.1,0.44,1381.69,0.27,0.09987029831387806
3,1,3,2,5,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,1498.4,0.24,412.58,0.36,3021.82,0.02,148.76,0.41,555.25,0.58,331.31,0.3,0.11867704280155644
4,1,9,1,4,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,2172.3,0.3,1655.03,0.32,2208.48,0.02,333.03,0.51,1278.42,0.59,1316.17,0.31,0.11896551724137927
4,4,3,4,1,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,882.95,0.3,1655.03,0.32,264.2,0.02,9056.22,0.51,6041.57,0.59,2611.16,0.31,0.1155172413793103
3,2,3,1,4,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,741.26,0.24,412.58,0.36,641.6,0.02,148.76,0.41,432.77,0.58,331.31,0.3,0.12062256809338523
2,3,4,2,5,1,0.41245136186770426,9.012987012987013,159.01,0.36,236.94,1.0,2357.09,0.27,720.6,0.35,5992.16,0.01,242.37,0.53,935.64,0.44,626.98,0.27,0.09987029831387806
1,3,7,2,2,1,0.411284046692607,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.02,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09766536964980543
1,4,9,1,1,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,336.87,0.02,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
1,1,8,4,1,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,336.87,0.02,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
3,1,4,3,4,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,741.26,0.24,412.58,0.36,641.6,0.02,148.76,0.41,432.77,0.58,331.31,0.3,0.12062256809338523
4,1,2,2,2,1,0.4591954022988506,7.365384615384615,1219.71,1.0,1219.71,1.0,1219.71,0.3,1219.71,0.32,1219.71,0.02,1219.71,0.51,1219.71,0.59,1219.71,0.31,0.11494252873563215
4,4,3,4,3,1,0.4591954022988506,7.365384615384615,3794.76,1.0,8545.11,1.0,999.69,0.3,1655.03,0.32,10730.31,0.02,4534.1,0.51,4488.55,0.59,3505.82,0.31,0.11609195402298855
3,2,2,4,1,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,205.39,0.24,412.58,0.36,80.18,0.02,2018.6,0.41,1562.15,0.58,859.08,0.3,0.11867704280155644
1,1,3,1,1,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,336.87,0.02,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
3,4,2,2,3,1,0.37937743190661477,7.426229508196721,2326.63,0.34,2450.73,1.0,416.79,0.24,412.58,0.36,3021.82,0.02,1477.98,0.41,357.8,0.58,209.8,0.3,0.11867704280155644
4,3,7,3,3,1,0.4591954022988506,7.365384615384615,3794.76,1.0,8545.11,1.0,999.69,0.3,1655.03,0.32,10730.31,0.02,4534.1,0.51,4488.55,0.59,3505.82,0.31,0.11609195402298855
1,4,8,1,4,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4075.1,0.02,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
1,3,8,1,3,1,0.411284046692607,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,18304.32,0.02,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09805447470817119
1,3,9,1,2,1,0.411284046692607,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.02,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09766536964980543
4,2,2,2,3,1,0.4591954022988506,7.365384615384615,3794.76,1.0,8545.11,1.0,999.69,0.3,1655.03,0.32,10730.31,0.02,4534.1,0.51,4488.55,0.59,3505.82,0.31,0.11609195402298855
3,2,9,3,2,1,0.37937743190661477,7.426229508196721,360.73,0.34,360.73,1.0,360.73,0.24,360.73,0.36,360.73,0.02,360.73,0.41,360.73,0.58,360.73,0.3,0.11867704280155644
4,4,5,1,3,1,0.4591954022988506,7.365384615384615,3794.76,1.0,8545.11,1.0,999.69,0.3,1655.03,0.32,10730.31,0.02,4534.1,0.51,4488.55,0.59,3505.82,0.31,0.11609195402298855
3,1,6,4,1,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,205.39,0.24,412.58,0.36,80.18,0.02,2018.6,0.41,1562.15,0.58,859.08,0.3,0.11867704280155644
3,1,7,2,1,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,205.39,0.24,412.58,0.36,80.18,0.02,2018.6,0.41,1562.15,0.58,859.08,0.3,0.11867704280155644
4,1,6,1,5,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,4355.62,0.3,1655.03,0.32,10730.31,0.02,333.03,0.51,1653.11,0.59,1316.17,0.31,0.11609195402298855
3,4,4,2,4,1,0.37937743190661477,7.426229508196721,76.67,0.34,119.93,1.0,741.26,0.24,412.58,0.36,641.6,0.02,148.76,0.41,432.77,0.58,331.31,0.3,0.12062256809338523
4,4,1,3,1,1,0.4591954022988506,7.365384615384615,708.57,1.0,484.76,1.0,882.95,0.3,1655.03,0.32,264.2,0.02,9056.22,0.51,6041.57,0.59,2611.16,0.31,0.1155172413793103
2,4,3,4,3,1,0.41245136186770426,9.012987012987013,3808.51,0.36,4024.74,1.0,572.88,0.27,720.6,0.35,5992.16,0.01,2238.55,0.53,1145.26,0.44,359.78,0.27,0.09987029831387806
1,2,5,4,4,1,0.411284046692607,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4075.1,0.02,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
4,4,7,3,2,1,0.4591954022988506,7.365384615384615,1219.71,1.0,1219.71,1.0,1219.71,0.3,1219.71,0.32,1219.71,0.02,1219.71,0.51,1219.71,0.59,1219.71,0.31,0.11494252873563215
2,1,4,4,3,1,0.41245136186770426,9.012987012987013,3808.51,0.36,4024.74,1.0,572.88,0.27,720.6,0.35,5992.16,0.01,2238.55,0.53,1145.26,0.44,359.78,0.27,0.09987029831387806
1,3,9,4,2,1,0.411284046692607,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.02,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09766536964980543
2,3,3,2,2,1,0.41245136186770426,9.012987012987013,572.42,0.36,572.42,1.0,572.42,0.27,572.42,0.35,572.42,0.01,572.42,0.53,572.42,0.44,572.42,0.27,0.09727626459143968
