sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
3.0,1.0,7.0,3.0,1.0,1.0,2.0,3.0,8.0,2.0,2.0,2.0,1.0,1.0,0.1769041769041769,0.1769041769041769,0.17702,2.04862,0.0390253879984658,3.414651493598862,207.82,0.3,680.33,0.28,1202.14,0.29,738.07,0.41,1376.14,0.34,63.85,0.14,243.69,0.33,63.49,0.1,252.45,0.44,340.52,0.38,336.49,0.28,967.64,0.15,250.82,0.04,704.18,0.23,0.145132284428124
2.0,4.0,8.0,1.0,1.0,5.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,0.1781326781326781,0.1772113022113022,0.17202,2.15777,0.0372377899489668,3.529118136439268,420.6,0.33,0.0,1.0,224.58,0.29,216.77,0.4,1579.0,0.17,545.82,0.21,245.48,0.47,550.3,0.3,0.0,1.0,100.31,0.32,771.01,1.0,771.01,1.0,547.18,0.34,0.0,1.0,0.1210812563929845
1.0,3.0,5.0,4.0,2.0,4.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,0.1824324324324324,0.1824324324324324,0.19416,2.0278,0.0429479188797816,3.143329658213892,1842.42,0.42,777.84,0.3,3724.27,0.34,3097.61,0.29,1707.71,0.29,4557.51,0.21,2888.08,0.41,4668.24,0.34,236.9,0.15,1025.75,0.33,3950.97,0.08,865.93,0.05,2532.69,0.24,234.06,0.11,0.1910301619158096
2.0,3.0,2.0,3.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,0.2205159705159705,0.2206183456183456,0.20577,2.57404,0.0414713468366362,3.097674418604651,222.39,0.28,809.57,0.25,1326.64,0.18,851.69,0.39,1361.2,0.3,68.66,0.08,324.86,0.28,62.56,0.05,972.76,0.41,1277.31,0.29,256.71,0.25,1102.97,0.07,80.91,0.01,430.29,0.2,0.198286251812211
1.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,0.1355651105651105,0.1355651105651105,0.19408,2.01903,0.0429933030457079,3.2063835542331622,974.18,0.0,4168.48,0.0,5047.95,0.0,3809.36,0.0,6443.59,0.0,321.48,0.0,1430.97,0.0,297.77,0.0,248357.86,0.42,111321.04,0.31,447076.14,0.29,1376.74,0.06,1110.55,0.04,369988.2,0.31,0.1234524382868151
3.0,2.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.1607800982800983,0.1607800982800983,0.18653,2.09773,0.0407827290667606,3.1412429378531073,209897.22,0.36,234.31,0.0,96117.2,0.25,746.78,0.0,50053.69,0.29,1240.57,0.0,756.95,0.0,1251.29,0.0,67.34,0.0,242.48,0.0,77364.4,0.07,115195.28,0.05,60669.15,0.31,81.06,0.0,0.1416324879411656
4.0,2.0,5.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.18175,0.18175,0.20139,1.06237,0.0503077439280259,4.2549848942598185,349757.71,0.51,117.23,0.0,168902.94,0.25,885.25,0.0,93507.19,0.23,1918.81,0.0,801.49,0.0,1977.29,0.0,76.84,0.0,570.49,0.0,305009.57,0.03,860603.84,0.01,114851.96,0.31,68.13,0.0,0.1140797558352247
2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2060158910329171,0.2060158910329171,0.19337,2.04528,0.0426508772565051,3.111059262715819,307.41,0.0,1139.73,0.0,1699.98,0.0,1086.88,0.0,1755.82,0.0,104.62,0.0,393.62,0.0,91.65,0.0,328708.08,0.42,71682.83,0.26,154627.03,0.29,1294.84,0.07,28.44,0.04,75409.71,0.24,0.1931511850094062
2.0,4.0,9.0,3.0,2.0,5.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,0.1815110565110565,0.1815110565110565,0.17279,2.14871,0.037461234261276,3.5499153976311337,3664.48,0.39,0.0,1.0,810.4,0.29,211.67,0.4,1569.94,0.17,539.24,0.21,233.84,0.47,542.63,0.3,0.0,1.0,100.46,0.32,23322.98,1.0,23322.98,1.0,547.82,0.34,0.0,1.0,0.1110095782628949
4.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,0.17575,0.17575,0.1548,0.98532,0.038706938817755,5.390013495276653,230132.8,0.44,58.76,0.0,116757.16,0.31,296.5,0.0,59695.12,0.25,949.97,0.0,292.22,0.0,988.74,0.0,43.31,0.0,213.72,0.0,878.29,1.0,878.29,1.0,61311110.42,1.0,70.71,0.0,0.0957883937731388
2.0,1.0,8.0,4.0,2.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.1697379197379197,0.1697379197379197,0.17186,2.02624,0.0380358457014434,3.6686656671664166,42.45,0.39,0.0,1.0,41.98,0.4,275.22,0.41,2850.15,0.16,569.78,0.29,332.56,0.48,675.7,0.32,0.0,1.0,119.88,0.33,848.54,1.0,848.54,1.0,9935.61,0.31,0.0,1.0,0.1083177772650684
2.0,1.0,3.0,3.0,1.0,4.0,2.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,0.1739352989352989,0.1739352989352989,0.1895,2.03381,0.0418781461461026,3.173181593270658,301.8,0.3,1086.98,0.28,1673.96,0.21,1049.64,0.4,1718.89,0.34,103.02,0.14,366.25,0.33,83.25,0.09,710.3,0.44,1455.35,0.34,574.95,0.28,1328.64,0.07,269.57,0.04,866.54,0.23,0.1847719701847294
3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,0.1392813267813268,0.1392813267813268,0.1663,1.9884,0.0370334068251671,3.660110149488592,46194.91,0.37,197.6,0.0,19526.65,0.3,687.87,0.0,87642.38,0.28,948.38,0.0,693.45,0.0,1201.93,0.0,47.99,0.0,215.41,0.0,109.03,0.02,70.86,0.01,72047.88,0.31,81.45,0.0,0.0946013487026476
2.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,0.1819205569205569,0.1819205569205569,0.18661,2.01934,0.0413407535562298,3.237449118046133,238898.56,0.4,307.84,0.0,47935.67,0.34,1160.61,0.0,218571.57,0.29,1443.1,0.0,1114.3,0.0,1874.67,0.0,98.72,0.0,399.81,0.0,1485.59,0.07,253.23,0.04,97031.85,0.24,81.23,0.0,0.1874789581533022
1.0,1.0,9.0,4.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,0.1824324324324324,0.1824324324324324,0.16903,1.8628,0.0384207155576251,3.978560490045942,434963.64,0.37,399.62,0.0,217356.73,0.3,1709.24,0.0,555580.18,0.23,3279.99,0.0,1620.88,0.0,3331.94,0.0,181.49,0.0,656.55,0.0,4085.4,1.0,4085.4,1.0,92288425.09,0.35,147.6,0.0,0.1386429905345668
4.0,3.0,8.0,2.0,2.0,1.0,1.0,3.0,6.0,2.0,1.0,2.0,2.0,1.0,0.1873333333333333,0.1873333333333333,0.19217,0.99041,0.0480455221669126,4.100536193029491,397.55,0.43,284.56,0.29,407.93,0.38,1435.7,0.28,391.05,0.28,2236.48,0.33,1210.94,0.52,2584.25,0.71,137.96,0.16,667.38,1.0,750.19,0.15,385.43,0.03,1245.39,0.27,110.48,0.1,0.1623437442440168
4.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.16375,0.16375,0.16584,0.96712,0.0414587502549844,5.266759776536313,220249.69,0.37,52.54,0.0,1906658.83,0.35,261.74,0.0,136845.88,0.22,967.48,0.0,272.53,0.0,1001.82,0.0,45.38,0.0,228.76,0.0,851.76,1.0,851.76,1.0,422509.71,1.0,69.65,0.0,0.0947714236769275
3.0,4.0,7.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.159551597051597,0.159551597051597,0.16895,2.0054,0.0375215040363078,3.7631954350927246,79.34,0.0,223.57,0.0,691.99,0.0,293.37,0.0,690.46,0.0,38.07,0.0,126.56,0.0,40.88,0.0,103131.64,0.44,49320.4,0.34,113524.39,0.22,887.01,1.0,887.01,1.0,509662.66,0.35,0.1171236064360475
2.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,0.1697379197379197,0.1697379197379197,0.16607,2.04666,0.036630908070238,3.686786296900489,577.21,0.38,0.0,1.0,36.87,0.39,262.61,0.41,2978.49,0.16,513.25,0.3,293.79,0.48,610.3,0.31,0.0,1.0,103.11,0.33,779.0,1.0,779.0,1.0,507.64,0.26,0.0,1.0,0.0998791202149462
